"lon","lat","X","Y","polygon","unicode","prov","dist","loc","viv","loc_num","block","uniblock"
-71.6003432157699,-16.4467816664598,222331.25093,8179858.260093,0,"1.24.1.1",1,24,"1","1",1,"1","1.24.1.1"
-71.5983957987296,-16.4475562438018,222540.421716,8179775.176972,0,"1.24.1.12",1,24,"1","12",1,"1","1.24.1.1"
-71.5983071477443,-16.4475686845533,222549.911153,8179773.921295,0,"1.24.1.13",1,24,"1","13",1,"1","1.24.1.1"
-71.600155403041,-16.446831102617,222351.387887,8179853.044763,0,"1.24.1.2",1,24,"1","2",1,"1","1.24.1.1"
-71.6002967989834,-16.4469404337498,222336.436289,8179840.745871,0,"1.24.1.3",1,24,"1","3",1,"1","1.24.1.1"
-71.5999638990221,-16.4469300583902,222371.98971,8179842.351903,0,"1.24.1.4",1,24,"1","4",1,"1","1.24.1.1"
-71.5996914231997,-16.4471153142861,222401.365644,8179822.215491,0,"1.24.1.5",1,24,"1","5",1,"1","1.24.1.1"
-71.599591694376,-16.4471776361353,222412.109705,8179815.45248,0,"1.24.1.6",1,24,"1","6",1,"1","1.24.1.1"
-71.5991334077893,-16.4473307526124,222461.29244,8179799.129525,0,"1.24.1.8",1,24,"1","8",1,"1","1.24.1.1"
-71.5985234700993,-16.4475437569994,222526.763157,8179776.384172,0,"1.24.1.9",1,24,"1","9",1,"1","1.24.1.1"
-71.5987006610232,-16.447319205555,222507.512051,8179801.002178,1,"1.24.1.10",1,24,"1","10",1,"2","1.24.1.2"
-71.5984793180432,-16.4473714409827,222531.235348,8179795.522811,1,"1.24.1.11",1,24,"1","11",1,"2","1.24.1.2"
-71.5983663198382,-16.4473983400212,222543.346696,8179792.699807,1,"1.24.1.14",1,24,"1","14",1,"2","1.24.1.2"
-71.5980932101835,-16.4474431065199,222572.590254,8179788.118389,1,"1.24.1.15",1,24,"1","15",1,"2","1.24.1.2"
-71.5980958773838,-16.4470387298587,222571.730082,8179832.885402,1,"1.24.1.16",1,24,"1","16",1,"2","1.24.1.2"
-71.5981020232861,-16.4466698261724,222570.548703,8179873.72024,1,"1.24.1.17",1,24,"1","17",1,"2","1.24.1.2"
-71.5980863467096,-16.4465219344847,222572.013286,8179890.115627,1,"1.24.1.18",1,24,"1","18",1,"2","1.24.1.2"
-71.5982077947626,-16.4464720956193,222558.96645,8179895.466843,1,"1.24.1.19",1,24,"1","19",1,"2","1.24.1.2"
-71.5983075223902,-16.4464110167805,222548.224307,8179902.092307,1,"1.24.1.20",1,24,"1","20",1,"2","1.24.1.2"
-71.5984072495502,-16.4462913401411,222537.39885,8179915.20544,1,"1.24.1.21",1,24,"1","21",1,"2","1.24.1.2"
-71.5984707001944,-16.4461982763192,222530.487159,8179925.421923,1,"1.24.1.22",1,24,"1","22",1,"2","1.24.1.2"
-71.5985587598141,-16.4460582619509,222520.879353,8179940.802766,1,"1.24.1.23",1,24,"1","23",1,"2","1.24.1.2"
-71.5990838175123,-16.4463631695795,222465.214007,8179906.323917,1,"1.24.1.24",1,24,"1","24",1,"2","1.24.1.2"
-71.5993209246679,-16.447086615507,222440.910104,8179825.901739,1,"1.24.1.7",1,24,"1","7",1,"2","1.24.1.2"
-71.5983074240869,-16.445925178536,222547.543724,8179955.882162,2,"1.24.1.25",1,24,"1","25",1,"3","1.24.1.3"
-71.598267663817,-16.446046253737,222551.964087,8179942.531866,2,"1.24.1.26",1,24,"1","26",1,"3","1.24.1.3"
-71.5981500747664,-16.4462348538638,222564.796012,8179921.812361,2,"1.24.1.27",1,24,"1","27",1,"3","1.24.1.3"
-71.5981231973696,-16.4461079884471,222567.487245,8179935.895193,2,"1.24.1.28",1,24,"1","28",1,"3","1.24.1.3"
-71.5980358425481,-16.4458188792519,222576.409366,8179968.023896,2,"1.24.1.29",1,24,"1","29",1,"3","1.24.1.3"
-71.5980236236105,-16.4459332029672,222577.877486,8179955.383287,2,"1.24.1.30",1,24,"1","30",1,"3","1.24.1.3"
-71.5980415636807,-16.446296638778,222576.477618,8179915.120771,2,"1.24.1.31",1,24,"1","31",1,"3","1.24.1.3"
-71.5979534784937,-16.4463303661335,222585.936933,8179911.507541,2,"1.24.1.32",1,24,"1","32",1,"3","1.24.1.3"
-71.5977191973153,-16.4463322020896,222610.971001,8179911.625819,2,"1.24.1.33",1,24,"1","33",1,"3","1.24.1.3"
-71.5977244455288,-16.4461522383015,222610.154328,8179931.543351,2,"1.24.1.34",1,24,"1","34",1,"3","1.24.1.3"
-71.5976580773046,-16.4459851176925,222617.007695,8179950.137232,2,"1.24.1.35",1,24,"1","35",1,"3","1.24.1.3"
-71.5975339935613,-16.4460106582563,222630.301596,8179947.479787,2,"1.24.1.36",1,24,"1","36",1,"3","1.24.1.3"
-71.5975637637036,-16.4461328618588,222627.29462,8179933.909133,2,"1.24.1.37",1,24,"1","37",1,"3","1.24.1.3"
-71.5976160696977,-16.4463183263261,222621.969798,8179913.303609,2,"1.24.1.38",1,24,"1","38",1,"3","1.24.1.3"
-71.5975683253467,-16.4463254040274,222627.081043,8179912.585522,2,"1.24.1.39",1,24,"1","39",1,"3","1.24.1.3"
-71.5974914355889,-16.4463349492977,222635.309798,8179911.634233,2,"1.24.1.40",1,24,"1","40",1,"3","1.24.1.3"
-71.5974310225838,-16.4463340406328,222641.76325,8179911.817739,2,"1.24.1.41",1,24,"1","41",1,"3","1.24.1.3"
-71.5973636992753,-16.4463445039114,222648.971194,8179910.75168,2,"1.24.1.42",1,24,"1","42",1,"3","1.24.1.3"
-71.5973119412981,-16.4463514763704,222654.511118,8179910.050746,2,"1.24.1.43",1,24,"1","43",1,"3","1.24.1.3"
-71.5972206080437,-16.4463585500011,222664.279549,8179909.392913,2,"1.24.1.44",1,24,"1","44",1,"3","1.24.1.3"
-71.5971219202184,-16.4463735992849,222674.845108,8179907.862141,2,"1.24.1.45",1,24,"1","45",1,"3","1.24.1.3"
-71.5970736044835,-16.446379013145,222680.015031,8179907.329038,2,"1.24.1.45A",1,24,"1","45A",1,"3","1.24.1.3"
-71.5969849638193,-16.4463916016685,222689.503614,8179906.056918,2,"1.24.1.46",1,24,"1","46",1,"3","1.24.1.3"
-71.5968497182019,-16.4464038564298,222703.971158,8179904.885687,2,"1.24.1.47",1,24,"1","47",1,"3","1.24.1.3"
-71.5966976266384,-16.4464405219689,222720.273282,8179901.034913,2,"1.24.1.48",1,24,"1","48",1,"3","1.24.1.3"
-71.5966482108181,-16.4462827589864,222725.328771,8179918.56946,2,"1.24.1.49",1,24,"1","49",1,"3","1.24.1.3"
-71.5963802038388,-16.4465497184222,222754.343059,8179889.380654,2,"1.24.1.50",1,24,"1","50",1,"3","1.24.1.3"
-71.5962522403676,-16.4465507770816,222768.016619,8179889.438971,2,"1.24.1.51",1,24,"1","51",1,"3","1.24.1.3"
-71.5976611994076,-16.4465488778725,222617.475849,8179887.716105,3,"1.24.1.52",1,24,"1","52",1,"4","1.24.1.4"
-71.5974628445211,-16.446549821835,222638.670124,8179887.883806,3,"1.24.1.53",1,24,"1","53",1,"4","1.24.1.4"
-71.5973658793454,-16.4465542598368,222649.036534,8179887.525515,3,"1.24.1.54",1,24,"1","54",1,"4","1.24.1.4"
-71.5972720450967,-16.4465697975206,222659.084206,8179885.934019,3,"1.24.1.55",1,24,"1","55",1,"4","1.24.1.4"
-71.5971874004204,-16.4466053010879,222668.178419,8179882.119382,3,"1.24.1.56",1,24,"1","56",1,"4","1.24.1.4"
-71.5971005707227,-16.4466203020862,222677.476933,8179880.577685,3,"1.24.1.57",1,24,"1","57",1,"4","1.24.1.4"
-71.5970461521509,-16.4466258168277,222683.299041,8179880.041787,3,"1.24.1.58",1,24,"1","58",1,"4","1.24.1.4"
-71.5969621355152,-16.446620279296,222692.267793,8179880.770152,3,"1.24.1.59",1,24,"1","59",1,"4","1.24.1.4"
-71.5965436034507,-16.44674306144,222737.159727,8179867.750504,3,"1.24.1.60",1,24,"1","60",1,"4","1.24.1.4"
-71.5964401643725,-16.4467613171702,222748.237453,8179865.871216,3,"1.24.1.61",1,24,"1","61",1,"4","1.24.1.4"
-71.5963570876839,-16.4468075912491,222757.179417,8179860.861935,3,"1.24.1.62",1,24,"1","62",1,"4","1.24.1.4"
-71.5960521910709,-16.4468442148715,222789.807622,8179857.225358,3,"1.24.1.63",1,24,"1","63",1,"4","1.24.1.4"
-71.5959612330525,-16.4468843914134,222799.582971,8179852.901961,3,"1.24.1.64",1,24,"1","64",1,"4","1.24.1.4"
-71.5958553835,-16.4469095814395,222810.928076,8179850.258218,3,"1.24.1.65",1,24,"1","65",1,"4","1.24.1.4"
-71.5955276932458,-16.4469402419466,222845.983114,8179847.313028,3,"1.24.1.66",1,24,"1","66",1,"4","1.24.1.4"
-71.5954938186491,-16.4469414718967,222849.60413,8179847.223306,3,"1.24.1.66A",1,24,"1","66A",1,"4","1.24.1.4"
-71.5954560728104,-16.446964638489,222853.669933,8179844.710175,3,"1.24.1.67",1,24,"1","67",1,"4","1.24.1.4"
-71.5953746341878,-16.4469841144561,222862.398764,8179842.665564,3,"1.24.1.68",1,24,"1","68",1,"4","1.24.1.4"
-71.5953080294344,-16.4470175345615,222869.562509,8179839.056783,3,"1.24.1.69",1,24,"1","69",1,"4","1.24.1.4"
-71.5952057462683,-16.4470121423723,222880.483097,8179839.794027,3,"1.24.1.70",1,24,"1","70",1,"4","1.24.1.4"
-71.5951317409727,-16.4470115998667,222888.389281,8179839.955561,3,"1.24.1.71",1,24,"1","71",1,"4","1.24.1.4"
-71.59507870376,-16.4470229588689,222894.072078,8179838.770667,3,"1.24.1.72",1,24,"1","72",1,"4","1.24.1.4"
-71.594981377341,-16.4470348116743,222904.487571,8179837.591822,3,"1.24.1.73",1,24,"1","73",1,"4","1.24.1.4"
-71.594913621313,-16.4470476126372,222911.745018,8179836.267457,3,"1.24.1.74",1,24,"1","74",1,"4","1.24.1.4"
-71.594842828195,-16.4470635438947,222919.331403,8179834.600682,3,"1.24.1.75",1,24,"1","75",1,"4","1.24.1.4"
-71.5947431922592,-16.4470627160918,222929.975633,8179834.828925,3,"1.24.1.76",1,24,"1","76",1,"4","1.24.1.4"
-71.5946613989045,-16.4470765765522,222938.734371,8179833.406493,3,"1.24.1.77",1,24,"1","77",1,"4","1.24.1.4"
