"Unicode","POINT_X","POINT_Y","EASTING","NORTHING","STATUS","D.x","L.x","V.x","BLOCK_NUM","TOTAL_C","TOTAL_P"
"1.10.36.1",-71.49009602,-16.40468107,234052.7121,8184667.344,0,10,36,1,668,0,0
"1.10.36.10",-71.48975771,-16.40432123,234088.3741,8184707.625,0,10,36,10,669,0,0
"1.10.36.100",-71.48811539,-16.40228585,234261.1058,8184935.109,0,10,36,100,676,0,0
"1.10.36.101",-71.48812906,-16.40239863,234259.7983,8184922.606,0,10,36,101,676,0,0
"1.10.36.102",-71.4887784,-16.40189768,234189.7286,8184977.213,0,10,36,102,677,0,0
"1.10.36.103",-71.48885769,-16.40250748,234182.0848,8184909.6,0,10,36,103,678,0,0
"1.10.36.104",-71.48943048,-16.40288517,234121.39,8184867.036,0,10,36,104,679,0,0
"1.10.36.105",-71.48951113,-16.40289173,234112.7801,8184866.204,0,10,36,105,679,0,0
"1.10.36.106",-71.48959315,-16.40290091,234104.0277,8184865.08,0,10,36,106,679,0,0
"1.10.36.107",-71.48959315,-16.40280648,234103.8993,8184875.533,0,10,36,107,679,0,0
"1.10.36.108",-71.48960136,-16.40275665,234102.9551,8184881.04,9,10,36,108,679,0,0
"1.10.36.109",-71.48959862,-16.40267534,234103.1367,8184890.044,1,10,36,109,679,3,0
"1.10.36.11",-71.48972323,-16.40416169,234091.8413,8184725.332,0,10,36,11,669,0,0
"1.10.36.110",-71.48960409,-16.40259535,234102.4437,8184898.893,9,10,36,110,679,0,0
"1.10.36.111",-71.48960272,-16.40248519,234102.44,8184911.09,0,10,36,111,679,0,0
"1.10.36.112",-71.48944005,-16.40266485,234120.0679,8184891.414,0,10,36,112,679,0,0
"1.10.36.113",-71.48929104,-16.40240388,234135.636,8184920.501,0,10,36,113,680,0,0
"1.10.36.114",-71.48941954,-16.4023711,234121.8598,8184923.962,0,10,36,114,680,0,0
"1.10.36.115",-71.48960819,-16.40229504,234101.5972,8184932.135,9,10,36,115,680,0,0
"1.10.36.116",-71.48954394,-16.40217177,234108.2954,8184945.866,0,10,36,116,680,0,0
"1.10.36.117",-71.48929104,-16.40220193,234135.3615,8184942.859,0,10,36,117,680,0,0
"1.10.36.118",-71.48928831,-16.40230946,234135.7999,8184930.957,0,10,36,118,680,0,0
"1.10.36.119",-71.48989527,-16.402337,234070.977,8184927.112,1,10,36,119,681,168,0
"1.10.36.12",-71.48969776,-16.40407343,234094.444,8184735.137,0,10,36,12,669,0,0
"1.10.36.120",-71.489898,-16.40239733,234070.7669,8184920.43,1,10,36,120,681,8,0
"1.10.36.121",-71.48988297,-16.40250355,234072.5182,8184908.69,9,10,36,121,681,0,0
"1.10.36.122",-71.48986246,-16.40260715,234074.8502,8184897.248,1,10,36,122,681,114,0
"1.10.36.123",-71.48984059,-16.40272911,234077.3533,8184883.775,9,10,36,123,681,0,0
"1.10.36.124",-71.48983922,-16.40282222,234077.626,8184873.469,1,10,36,124,681,15,0
"1.10.36.125",-71.48979138,-16.40294025,234082.8993,8184860.465,1,10,36,125,681,62,0
"1.10.36.126",-71.48989937,-16.40293762,234071.3553,8184860.614,1,10,36,126,681,0,0
"1.10.36.127",-71.48997456,-16.40296516,234063.3582,8184857.466,1,10,36,127,681,6,0
"1.10.36.128",-71.49005795,-16.40296516,234054.4472,8184857.357,0,10,36,128,681,0,0
"1.10.36.129",-71.49019465,-16.40297697,234039.8551,8184855.871,9,10,36,129,681,0,0
"1.10.36.13",-71.48966237,-16.40401504,234098.1461,8184741.647,0,10,36,13,669,0,0
"1.10.36.130",-71.49020832,-16.40286812,234038.2463,8184867.903,1,10,36,130,681,13,0
"1.10.36.131",-71.49020149,-16.40275796,234038.827,8184880.107,0,10,36,131,681,0,0
"1.10.36.132",-71.49022609,-16.40264387,234036.0425,8184892.706,1,10,36,132,681,0,0
"1.10.36.133",-71.49026164,-16.40254814,234032.1142,8184903.257,0,10,36,133,681,0,0
"1.10.36.134",-71.490263,-16.4024288,234031.8059,8184916.467,0,10,36,134,681,2,0
"1.10.36.135",-71.49027804,-16.40231995,234030.051,8184928.497,1,10,36,135,681,75,0
"1.10.36.136",-71.4902671,-16.40221898,234031.0824,8184939.69,0,10,36,136,681,0,0
"1.10.36.137",-71.49018508,-16.40222947,234039.8616,8184938.637,1,10,36,137,681,4,0
"1.10.36.138",-71.4901263,-16.40225963,234046.1841,8184935.375,9,10,36,138,681,0,0
"1.10.36.139",-71.4900142,-16.40229897,234058.2163,8184931.166,1,10,36,139,681,1,0
"1.10.36.14",-71.48964821,-16.40392406,234099.535,8184751.738,0,10,36,14,669,0,0
"1.10.36.140",-71.48983512,-16.40216914,234077.1765,8184945.774,9,10,36,140,682,0,0
"1.10.36.141",-71.48994175,-16.40212456,234065.7215,8184950.57,9,10,36,141,682,0,0
"1.10.36.142",-71.49007709,-16.40211144,234051.2416,8184951.845,1,10,36,142,682,3,0
"1.10.36.143",-71.49015091,-16.40206948,234043.2961,8184956.394,1,10,36,143,682,0,0
"1.10.36.144",-71.49021516,-16.40204194,234036.3929,8184959.358,0,10,36,144,682,0,0
"1.10.36.145",-71.49028761,-16.40201178,234028.6095,8184962.602,0,10,36,145,682,0,0
"1.10.36.146",-71.49023156,-16.40189113,234034.4349,8184976.032,0,10,36,146,682,0,0
"1.10.36.147",-71.49023019,-16.40179408,234034.4491,8184986.778,0,10,36,147,682,0,0
"1.10.36.148",-71.49021652,-16.40167999,234035.7548,8184999.426,0,10,36,148,682,0,0
"1.10.36.149",-71.49022062,-16.40157377,234035.1722,8185011.181,0,10,36,149,682,0,0
"1.10.36.15",-71.48963972,-16.4038195,234100.3004,8184763.324,0,10,36,15,669,0,0
"1.10.36.150",-71.49007425,-16.40159137,234050.838,8185009.424,0,10,36,150,682,0,0
"1.10.36.151",-71.48984901,-16.40158563,234074.8995,8185010.355,0,10,36,151,682,0,0
"1.10.36.152",-71.48983404,-16.40168326,234076.6315,8184999.567,0,10,36,152,682,0,0
"1.10.36.153",-71.48983179,-16.40179668,234077.0256,8184987.013,0,10,36,153,682,0,0
"1.10.36.154",-71.48984003,-16.40191512,234076.307,8184973.889,0,10,36,154,682,0,0
"1.10.36.155",-71.48982654,-16.4020173,234077.8873,8184962.595,0,10,36,155,682,0,0
"1.10.36.156",-71.48984353,-16.40210444,234076.1901,8184952.926,0,10,36,156,682,0,0
"1.10.36.157",-71.48979501,-16.40139953,234080.4167,8185031.029,0,10,36,157,683,0,0
"1.10.36.158",-71.48993223,-16.40137574,234065.7212,8185033.482,0,10,36,158,683,0,0
"1.10.36.159",-71.49003473,-16.40137098,234054.7615,8185033.874,9,10,36,159,683,0,0
"1.10.36.16",-71.48961141,-16.40374753,234103.2278,8184771.329,0,10,36,16,669,0,0
"1.10.36.160",-71.49017194,-16.40135512,234040.0768,8185035.45,0,10,36,160,683,0,0
"1.10.36.161",-71.49013227,-16.40124728,234044.1701,8185047.441,0,10,36,161,683,0,0
"1.10.36.162",-71.49012565,-16.40113309,234044.7216,8185060.091,0,10,36,162,683,0,0
"1.10.36.163",-71.48991735,-16.40116164,234067.0202,8185057.204,0,10,36,163,683,0,0
"1.10.36.164",-71.48976856,-16.40118067,234082.9458,8185055.293,0,10,36,164,683,0,0
"1.10.36.165",-71.48977186,-16.40127583,234082.7218,8185044.754,0,10,36,165,683,0,0
"1.10.36.166",-71.48950735,-16.40135671,234111.0981,8185036.146,0,10,36,166,684,0,0
"1.10.36.167",-71.48949908,-16.40121397,234111.7875,8185051.959,0,10,36,167,684,0,0
"1.10.36.168",-71.48936682,-16.40123776,234125.9529,8185049.499,0,10,36,168,684,0,0
"1.10.36.169",-71.48926102,-16.40127107,234137.3047,8185045.951,0,10,36,169,684,0,0
"1.10.36.17",-71.48956894,-16.40361717,234107.5884,8184785.816,0,10,36,17,669,0,0
"1.10.36.170",-71.48913041,-16.40126314,234151.2505,8185047,9,10,36,170,684,0,0
"1.10.36.171",-71.48914695,-16.40135036,234149.6024,8185037.322,0,10,36,171,684,0,0
"1.10.36.172",-71.48915083,-16.40145213,234149.3258,8185026.05,9,10,36,172,684,0,0
"1.10.36.173",-71.48927805,-16.40144046,234135.7146,8185027.175,0,10,36,173,684,0,0
"1.10.36.174",-71.48937329,-16.40141495,234125.503,8185029.875,0,10,36,174,684,0,0
"1.10.36.175",-71.48886388,-16.40148796,234180.0384,8185022.461,9,10,36,175,685,0,0
"1.10.36.176",-71.48886508,-16.4013336,234179.6998,8185039.547,9,10,36,176,685,0,0
"1.10.36.177",-71.48856226,-16.40132031,234212.041,8185041.416,0,10,36,177,685,0,0
"1.10.36.178",-71.48842333,-16.40136716,234226.9508,8185036.411,0,10,36,178,685,0,0
"1.10.36.179",-71.48833807,-16.40137546,234236.0733,8185035.605,0,10,36,179,685,0,0
