COD_VIV,unicode,FECHA,ESTADO,otro
1,1.10.36.1,2/1/11,1,
10,1.10.36.10,2/3/11,1,11
100,1.10.36.100,2/7/11,1,
101,1.10.36.101,2/7/11,1,
102,1.10.36.102,2/10/11,1,
103,1.10.36.103,2/10/11,1,
104,1.10.36.104,2/18/11,1,
105,1.10.36.105,2/7/11,1,
106,1.10.36.106,2/10/11,1,
107,1.10.36.107,2/10/11,1,
109,1.10.36.109,2/7/11,1,
111,1.10.36.111,2/9/11,1,
112,1.10.36.112,2/9/11,1,
113,1.10.36.113,2/9/11,1,
114,1.10.36.114,2/9/11,1,
116,1.10.36.116,2/9/11,1,
116,1.10.36.116A,2/11/11,1,
117,1.10.36.117,2/11/11,1,
117,1.10.36.117A,2/11/11,1,
117,1.10.36.117B,2/11/11,1,
118,1.10.36.118,2/11/11,1,
119,1.10.36.119,2/9/11,1,
12,1.10.36.12,2/2/11,1,
120,1.10.36.120,2/10/11,1,
122,1.10.36.122,2/10/11,1,
124,1.10.36.124,2/11/11,1,
125,1.10.36.125,2/11/11,1,126
127,1.10.36.127,2/11/11,1,
128,1.10.36.128,2/11/11,1,
129,1.10.36.129,2/15/11,1,
13,1.10.36.13,2/1/11,1,
130,1.10.36.130,2/15/11,1,
131,1.10.36.131,2/11/11,1,
132,1.10.36.132,2/14/11,1,
133,1.10.36.133,2/18/11,1,
134,1.10.36.134,2/16/11,1,
135,1.10.36.135,2/15/11,1,
136,1.10.36.136A,2/17/11,1,
137,1.10.36.137,2/16/11,1,
139,1.10.36.139,2/16/11,1,
14,1.10.36.14,2/1/11,1,
142,1.10.36.142,2/9/11,1,143
144,1.10.36.144,2/15/11,1,145
146,1.10.36.146,2/14/11,1,
147,1.10.36.147,2/15/11,1,
148,1.10.36.148,2/14/11,1,
149,1.10.36.149,2/14/11,1,150
15,1.10.36.15,2/1/11,1,
151,1.10.36.151,2/14/11,1,
152,1.10.36.152,2/15/11,1,
153,1.10.36.153,2/15/11,1,
154,1.10.36.154,2/16/11,1,
155,1.10.36.155,2/17/11,1,
156,1.10.36.156,2/15/11,1,
157,1.10.36.157,2/15/11,1,
158,1.10.36.158,2/15/11,1,
16,1.10.36.16,2/2/11,1,
160,1.10.36.160,2/15/11,1,
161,1.10.36.161,2/15/11,1,
162,1.10.36.162,2/15/11,1,
163,1.10.36.163,2/25/11,1,
164,1.10.36.164,2/15/11,1,
165,1.10.36.165,2/15/11,1,
166,1.10.36.166,2/15/11,1,167
168,1.10.36.168,2/16/11,1,
169,1.10.36.169,2/15/11,1,173
17,1.10.36.17,2/1/11,1,
171,1.10.36.171,2/16/11,1,
174,1.10.36.174,2/16/11,1,
177,1.10.36.177,2/16/11,1,
178,1.10.36.178,2/17/11,1,
179,1.10.36.179,2/16/11,1,
18,1.10.36.18,2/2/11,1,
180,1.10.36.180,2/16/11,1,
183,1.10.36.183,2/18/11,1,
184,1.10.36.184,2/17/11,1,
186,1.10.36.186,2/17/11,1,
188,1.10.36.188,2/17/11,1,
189,1.10.36.189,2/17/11,1,
19,1.10.36.19,2/2/11,1,
190,1.10.36.190,2/18/11,1,
192,1.10.36.192,2/17/11,1,
194,1.10.36.194,2/17/11,1,
196,1.10.36.196,2/22/11,1,
197,1.10.36.197,2/17/11,1,
