X,Y,UNICODE,P,D,L,V,LATITUDE,LONGITUDE
-71.61322678,-16.43962997,1.24.13.1,1,24,13,1,-16.43962997,-71.61322678
-71.61107423,-16.44128195,1.24.13.10,1,24,13,10,-16.44128195,-71.61107423
-71.61073058,-16.44149512,1.24.13.11,1,24,13,11,-16.44149512,-71.61073058
-71.60983353,-16.44262474,1.24.13.12,1,24,13,12,-16.44262474,-71.60983353
-71.60972444,-16.44273892,1.24.13.13,1,24,13,13,-16.44273892,-71.60972444
-71.60966699,-16.44285595,1.24.13.14,1,24,13,14,-16.44285595,-71.60966699
-71.6095864,-16.442769,1.24.13.15,1,24,13,15,-16.442769,-71.6095864
-71.60952036,-16.44292342,1.24.13.16,1,24,13,16,-16.44292342,-71.60952036
-71.60986441,-16.44295791,1.24.13.17,1,24,13,17,-16.44295791,-71.60986441
-71.60999458,-16.44279724,1.24.13.18,1,24,13,18,-16.44279724,-71.60999458
-71.61007635,-16.44270225,1.24.13.19,1,24,13,19,-16.44270225,-71.61007635
-71.61291102,-16.44116334,1.24.13.2,1,24,13,2,-16.44116334,-71.61291102
-71.61017515,-16.44261976,1.24.13.20,1,24,13,20,-16.44261976,-71.61017515
-71.61026857,-16.44254979,1.24.13.21,1,24,13,21,-16.44254979,-71.61026857
-71.61037156,-16.44250612,1.24.13.22,1,24,13,22,-16.44250612,-71.61037156
-71.6104671,-16.44245476,1.24.13.23,1,24,13,23,-16.44245476,-71.6104671
-71.61067255,-16.44223814,1.24.13.24,1,24,13,24,-16.44223814,-71.61067255
-71.61085704,-16.44221995,1.24.13.25,1,24,13,25,-16.44221995,-71.61085704
-71.61101794,-16.44216732,1.24.13.26,1,24,13,26,-16.44216732,-71.61101794
-71.61111734,-16.44206319,1.24.13.27,1,24,13,27,-16.44206319,-71.61111734
-71.61090232,-16.4420323,1.24.13.28,1,24,13,28,-16.4420323,-71.61090232
-71.61072138,-16.44206867,1.24.13.29,1,24,13,29,-16.44206867,-71.61072138
-71.61209154,-16.44255504,1.24.13.3,1,24,13,3,-16.44255504,-71.61209154
-71.61072064,-16.4419794,1.24.13.30,1,24,13,30,-16.4419794,-71.61072064
-71.61071318,-16.4418786,1.24.13.31,1,24,13,31,-16.4418786,-71.61071318
-71.61074452,-16.4417912,1.24.13.32,1,24,13,32,-16.4417912,-71.61074452
-71.61076848,-16.44169432,1.24.13.33,1,24,13,33,-16.44169432,-71.61076848
-71.6108342,-16.4416416,1.24.13.34,1,24,13,34,-16.4416416,-71.6108342
-71.61089827,-16.44160127,1.24.13.35,1,24,13,35,-16.44160127,-71.61089827
-71.61094841,-16.441583,1.24.13.36,1,24,13,36,-16.441583,-71.61094841
-71.61102295,-16.44154248,1.24.13.37,1,24,13,37,-16.44154248,-71.61102295
-71.61112992,-16.44149991,1.24.13.38,1,24,13,38,-16.44149991,-71.61112992
-71.61116218,-16.44162147,1.24.13.39,1,24,13,39,-16.44162147,-71.61116218
-71.61158391,-16.44251499,1.24.13.4,1,24,13,4,-16.44251499,-71.61158391
-71.61119505,-16.44170001,1.24.13.40,1,24,13,40,-16.44170001,-71.61119505
-71.61106366,-16.44180508,1.24.13.41,1,24,13,41,-16.44180508,-71.61106366
-71.61122465,-16.44180924,1.24.13.42,1,24,13,42,-16.44180924,-71.61122465
-71.61121266,-16.44193189,1.24.13.43,1,24,13,43,-16.44193189,-71.61121266
-71.61137612,-16.44218085,1.24.13.44,1,24,13,44,-16.44218085,-71.61137612
-71.61137154,-16.44231501,1.24.13.45,1,24,13,45,-16.44231501,-71.61137154
-71.61124324,-16.44255921,1.24.13.46,1,24,13,46,-16.44255921,-71.61124324
-71.61107536,-16.44273775,1.24.13.47,1,24,13,47,-16.44273775,-71.61107536
-71.61092141,-16.44281999,1.24.13.48,1,24,13,48,-16.44281999,-71.61092141
-71.6108267,-16.44304051,1.24.13.49,1,24,13,49,-16.44304051,-71.6108267
-71.61209451,-16.44223734,1.24.13.5,1,24,13,5,-16.44223734,-71.61209451
-71.61048722,-16.44288954,1.24.13.50,1,24,13,50,-16.44288954,-71.61048722
-71.61025524,-16.44281079,1.24.13.51,1,24,13,51,-16.44281079,-71.61025524
-71.6103757,-16.44307994,1.24.13.52,1,24,13,52,-16.44307994,-71.6103757
-71.61005431,-16.44300325,1.24.13.53,1,24,13,53,-16.44300325,-71.61005431
-71.60990882,-16.44317876,1.24.13.54,1,24,13,54,-16.44317876,-71.60990882
-71.60958123,-16.4433279,1.24.13.55,1,24,13,55,-16.4433279,-71.60958123
-71.60896606,-16.4438155,1.24.13.56,1,24,13,56,-16.4438155,-71.60896606
-71.60816653,-16.44526516,1.24.13.57,1,24,13,57,-16.44526516,-71.60816653
-71.61160253,-16.4420847,1.24.13.6,1,24,13,6,-16.4420847,-71.61160253
-71.61045823,-16.44010354,1.24.13.7,1,24,13,7,-16.44010354,-71.61045823
-71.61034374,-16.43994486,1.24.13.8,1,24,13,8,-16.43994486,-71.61034374
-71.61099734,-16.44114037,1.24.13.9,1,24,13,9,-16.44114037,-71.61099734
-71.60532088,-16.44102039,1.24.13A.1,1,24,13A,1,-16.44102039,-71.60532088
-71.60535272,-16.44024144,1.24.13A.10,1,24,13A,10,-16.44024144,-71.60535272
-71.60547779,-16.43989636,1.24.13A.11,1,24,13A,11,-16.43989636,-71.60547779
-71.60546321,-16.43965527,1.24.13A.12,1,24,13A,12,-16.43965527,-71.60546321
-71.60555871,-16.43964026,1.24.13A.13,1,24,13A,13,-16.43964026,-71.60555871
-71.60565467,-16.43963401,1.24.13A.14,1,24,13A,14,-16.43963401,-71.60565467
-71.60574042,-16.43964741,1.24.13A.15,1,24,13A,15,-16.43964741,-71.60574042
-71.60586417,-16.43964566,1.24.13A.16,1,24,13A,16,-16.43964566,-71.60586417
-71.60597746,-16.43965173,1.24.13A.17,1,24,13A,17,-16.43965173,-71.60597746
-71.6065316,-16.43946857,1.24.13A.18,1,24,13A,18,-16.43946857,-71.6065316
-71.60622055,-16.43970346,1.24.13A.19,1,24,13A,19,-16.43970346,-71.60622055
-71.60553117,-16.4409475,1.24.13A.2,1,24,13A,2,-16.4409475,-71.60553117
-71.6066835,-16.43939614,1.24.13A.20,1,24,13A,20,-16.43939614,-71.6066835
-71.60633466,-16.43978548,1.24.13A.21,1,24,13A,21,-16.43978548,-71.60633466
-71.60651185,-16.43986259,1.24.13A.22,1,24,13A,22,-16.43986259,-71.60651185
-71.6068881,-16.43957134,1.24.13A.23,1,24,13A,23,-16.43957134,-71.6068881
-71.60696604,-16.43941774,1.24.13A.24,1,24,13A,24,-16.43941774,-71.60696604
