X,Y,UNICODE,P,D,L,V,LATITUDE,LONGITUDE
-71.594145,-16.439326,1.24.5.1,1,24,5,1,-16.439326000000001,-71.594144999999997
-71.59497328,-16.43915757,1.24.5.10,1,24,5,10,-16.439157569999999,-71.594973280000005
-71.59512192,-16.43915823,1.24.5.100,1,24,5,100,-16.439158230000000,-71.595121919999997
-71.59590417,-16.4390246,1.24.5.101,1,24,5,101,-16.439024600000000,-71.595904169999997
-71.59585812,-16.43896746,1.24.5.102,1,24,5,102,-16.438967460000001,-71.595858120000003
-71.59578834,-16.43889943,1.24.5.103,1,24,5,103,-16.438899429999999,-71.595788339999999
-71.59569329,-16.43880607,1.24.5.104,1,24,5,104,-16.438806069999998,-71.595693290000000
-71.59555364,-16.43886857,1.24.5.105,1,24,5,105,-16.438868570000000,-71.595553640000006
-71.59544065,-16.43893222,1.24.5.106,1,24,5,106,-16.438932220000002,-71.595440650000000
-71.5953526,-16.43893981,1.24.5.107,1,24,5,107,-16.438939810000001,-71.595352599999998
-71.59524887,-16.43896936,1.24.5.108,1,24,5,108,-16.438969360000002,-71.595248870000006
-71.59511203,-16.43896556,1.24.5.109,1,24,5,109,-16.438965560000000,-71.595112029999996
-71.59490865,-16.43914672,1.24.5.11,1,24,5,11,-16.439146720000000,-71.594908649999994
-71.59510124,-16.43902789,1.24.5.110,1,24,5,110,-16.439027889999998,-71.595101240000005
-71.59582215,-16.43872576,1.24.5.111,1,24,5,111,-16.438725760000001,-71.595822150000004
-71.59596069,-16.43885031,1.24.5.112,1,24,5,112,-16.438850309999999,-71.595960689999998
-71.59606514,-16.43893713,1.24.5.113,1,24,5,113,-16.438937129999999,-71.596065139999993
-71.59614425,-16.43898777,1.24.5.114,1,24,5,114,-16.438987770000001,-71.596144249999995
-71.59621495,-16.43904099,1.24.5.115,1,24,5,115,-16.439040989999999,-71.596214950000004
-71.59628263,-16.43910665,1.24.5.116,1,24,5,116,-16.439106649999999,-71.596282630000005
-71.59637142,-16.43917939,1.24.5.117,1,24,5,117,-16.439179390000000,-71.596371419999997
-71.59643248,-16.43891248,1.24.5.118,1,24,5,118,-16.438912479999999,-71.596432480000004
-71.59646452,-16.4388407,1.24.5.119,1,24,5,119,-16.438840700000000,-71.596464519999998
-71.59482558,-16.43916869,1.24.5.12,1,24,5,12,-16.439168689999999,-71.594825580000006
-71.59645868,-16.43875155,1.24.5.120,1,24,5,120,-16.438751549999999,-71.596458679999998
-71.59633496,-16.43876992,1.24.5.121,1,24,5,121,-16.438769919999999,-71.596334959999993
-71.59625842,-16.43876568,1.24.5.122,1,24,5,122,-16.438765679999999,-71.596258419999998
-71.59653196,-16.43935037,1.24.5.123,1,24,5,123,-16.439350370000000,-71.596531959999993
-71.59672914,-16.43922647,1.24.5.124,1,24,5,124,-16.439226470000001,-71.596729139999994
-71.59679006,-16.43915009,1.24.5.125,1,24,5,125,-16.439150089999998,-71.596790060000004
-71.59680253,-16.43908314,1.24.5.126,1,24,5,126,-16.439083140000001,-71.596802530000005
-71.59682815,-16.43903327,1.24.5.127,1,24,5,127,-16.439033269999999,-71.596828149999993
-71.59684916,-16.43898836,1.24.5.128,1,24,5,128,-16.438988360000000,-71.596849160000005
-71.59687772,-16.4389057,1.24.5.129,1,24,5,129,-16.438905699999999,-71.596877719999995
-71.59473627,-16.43919603,1.24.5.13,1,24,5,13,-16.439196030000002,-71.594736269999999
-71.59692204,-16.43874036,1.24.5.130,1,24,5,130,-16.438740360000001,-71.596922039999995
-71.59669411,-16.43875065,1.24.5.131,1,24,5,131,-16.438750649999999,-71.596694110000001
-71.59665451,-16.43884721,1.24.5.132,1,24,5,132,-16.438847209999999,-71.596654509999993
-71.59661076,-16.43891685,1.24.5.133,1,24,5,133,-16.438916849999998,-71.596610760000004
-71.59658312,-16.43900309,1.24.5.134,1,24,5,134,-16.439003090000000,-71.596583120000005
-71.59656999,-16.43910016,1.24.5.135,1,24,5,135,-16.439100159999999,-71.596569990000006
-71.59653925,-16.43918405,1.24.5.136,1,24,5,136,-16.439184050000001,-71.596539250000006
-71.59696345,-16.43860346,1.24.5.137,1,24,5,137,-16.438603460000000,-71.596963450000004
-71.5969603,-16.43850572,1.24.5.138,1,24,5,138,-16.438505719999998,-71.596960300000006
-71.59676876,-16.43855455,1.24.5.139,1,24,5,139,-16.438554549999999,-71.596768760000003
-71.59466715,-16.43924564,1.24.5.14,1,24,5,14,-16.439245639999999,-71.594667150000006
-71.59666576,-16.43854269,1.24.5.140,1,24,5,140,-16.438542689999998,-71.596665759999993
-71.59655353,-16.43856267,1.24.5.141,1,24,5,141,-16.438562670000000,-71.596553529999994
-71.59644048,-16.43853563,1.24.5.142,1,24,5,142,-16.438535630000001,-71.596440479999998
-71.59627366,-16.43854958,1.24.5.143,1,24,5,143,-16.438549580000000,-71.596273659999994
-71.59614694,-16.438601,1.24.5.144,1,24,5,144,-16.438600999999998,-71.596146939999997
-71.59599461,-16.43860489,1.24.5.145,1,24,5,145,-16.438604890000001,-71.595994610000005
-71.59724763,-16.43846591,1.24.5.146,1,24,5,146,-16.438465910000001,-71.597247629999998
-71.59717664,-16.43858544,1.24.5.147,1,24,5,147,-16.438585440000001,-71.597176640000001
-71.59714514,-16.43870491,1.24.5.148,1,24,5,148,-16.438704909999998,-71.597145139999995
-71.59734044,-16.43881142,1.24.5.149,1,24,5,149,-16.438811420000000,-71.597340439999996
-71.59461332,-16.43927998,1.24.5.15,1,24,5,15,-16.439279979999998,-71.594613319999993
-71.59747522,-16.43883818,1.24.5.150,1,24,5,150,-16.438838180000001,-71.597475220000007
-71.59762759,-16.43884293,1.24.5.151,1,24,5,151,-16.438842930000000,-71.597627590000002
-71.59775253,-16.438803,1.24.5.152,1,24,5,152,-16.438803000000000,-71.597752529999994
-71.59797362,-16.43875623,1.24.5.153,1,24,5,153,-16.438756229999999,-71.597973620000005
-71.59797932,-16.43864187,1.24.5.154,1,24,5,154,-16.438641870000001,-71.597979319999993
-71.59795729,-16.43849699,1.24.5.155,1,24,5,155,-16.438496990000001,-71.597957289999997
-71.5978853,-16.43851955,1.24.5.156,1,24,5,156,-16.438519549999999,-71.597885300000002
-71.59780262,-16.43854271,1.24.5.157,1,24,5,157,-16.438542710000000,-71.597802619999996
