X,Y,UNICODE,P,D,L,V,LATITUDE,LONGITUDE
-71.60034322,-16.44678167,1.24.1.1,1,24,1,1,-16.446781670000000,-71.600343219999999
-71.59870066,-16.44731921,1.24.1.10,1,24,1,10,-16.447319210000000,-71.598700660000006
-71.59501164,-16.44619569,1.24.1.100,1,24,1,100,-16.446195690000000,-71.595011639999996
-71.59500416,-16.44627986,1.24.1.101,1,24,1,101,-16.446279860000001,-71.595004160000002
-71.59501711,-16.4464252,1.24.1.102,1,24,1,102,-16.446425200000000,-71.595017110000001
-71.59501534,-16.4465394,1.24.1.103,1,24,1,103,-16.446539399999999,-71.595015340000003
-71.59508139,-16.44664931,1.24.1.104,1,24,1,104,-16.446649310000002,-71.595081390000004
-71.59494855,-16.44671265,1.24.1.105,1,24,1,105,-16.446712649999998,-71.594948549999998
-71.59483672,-16.44680087,1.24.1.106,1,24,1,106,-16.446800870000001,-71.594836720000004
-71.5945534,-16.44688543,1.24.1.107,1,24,1,107,-16.446885429999998,-71.594553399999995
-71.59441928,-16.44688657,1.24.1.108,1,24,1,108,-16.446886570000000,-71.594419279999997
-71.59430374,-16.44689714,1.24.1.109,1,24,1,109,-16.446897140000001,-71.594303740000001
-71.59847932,-16.44737144,1.24.1.11,1,24,1,11,-16.447371440000001,-71.598479319999996
-71.59420536,-16.44696511,1.24.1.110,1,24,1,110,-16.446965110000001,-71.594205360000004
-71.59409162,-16.44696318,1.24.1.111,1,24,1,111,-16.446963180000001,-71.594091620000000
-71.59366453,-16.44704158,1.24.1.112,1,24,1,112,-16.447041580000000,-71.593664529999998
-71.59342723,-16.44708246,1.24.1.113,1,24,1,113,-16.447082460000001,-71.593427230000003
-71.59310674,-16.44715313,1.24.1.114,1,24,1,114,-16.447153130000000,-71.593106739999996
-71.59301048,-16.44716408,1.24.1.115,1,24,1,115,-16.447164080000000,-71.593010480000004
-71.59294053,-16.4472159,1.24.1.116,1,24,1,116,-16.447215900000000,-71.592940530000007
-71.59283087,-16.44723113,1.24.1.117,1,24,1,117,-16.447231129999999,-71.592830870000000
-71.5983958,-16.44755624,1.24.1.12,1,24,1,12,-16.447556240000001,-71.598395800000006
-71.59241129,-16.4469971,1.24.1.124,1,24,1,124,-16.446997100000001,-71.592411290000001
-71.59248965,-16.44723083,1.24.1.125,1,24,1,125,-16.447230829999999,-71.592489650000005
-71.59238438,-16.44722878,1.24.1.126,1,24,1,126,-16.447228780000000,-71.592384379999999
-71.59227092,-16.44722668,1.24.1.127,1,24,1,127,-16.447226680000000,-71.592270920000004
-71.59220035,-16.4472566,1.24.1.128,1,24,1,128,-16.447256599999999,-71.592200349999999
-71.59210915,-16.44726152,1.24.1.129,1,24,1,129,-16.447261520000001,-71.592109149999999
-71.59830715,-16.44756868,1.24.1.13,1,24,1,13,-16.447568680000000,-71.598307149999997
-71.59203618,-16.44725448,1.24.1.130,1,24,1,130,-16.447254480000002,-71.592036179999994
-71.59192732,-16.44726432,1.24.1.131,1,24,1,131,-16.447264319999999,-71.591927319999996
-71.5916735,-16.44728416,1.24.1.132,1,24,1,132,-16.447284159999999,-71.591673499999999
-71.59151727,-16.447306,1.24.1.133,1,24,1,133,-16.447306000000001,-71.591517269999997
-71.59138119,-16.44731887,1.24.1.134,1,24,1,134,-16.447318870000000,-71.591381190000007
-71.59122842,-16.44729741,1.24.1.135,1,24,1,135,-16.447297410000001,-71.591228419999993
-71.59096401,-16.44740382,1.24.1.136,1,24,1,136,-16.447403820000002,-71.590964009999993
-71.59091105,-16.44741602,1.24.1.137,1,24,1,137,-16.447416019999999,-71.590911050000003
-71.59084343,-16.44743037,1.24.1.138,1,24,1,138,-16.447430369999999,-71.590843430000007
-71.59078911,-16.44743744,1.24.1.139,1,24,1,139,-16.447437440000002,-71.590789110000003
-71.59836632,-16.44739834,1.24.1.14,1,24,1,14,-16.447398339999999,-71.598366319999997
-71.59069637,-16.44742921,1.24.1.140,1,24,1,140,-16.447429209999999,-71.590696370000003
-71.59057226,-16.44743457,1.24.1.141,1,24,1,141,-16.447434569999999,-71.590572260000002
-71.59045226,-16.44744916,1.24.1.142,1,24,1,142,-16.447449160000001,-71.590452260000006
-71.59031325,-16.44742303,1.24.1.143,1,24,1,143,-16.447423029999999,-71.590313249999994
-71.59018617,-16.44745028,1.24.1.144,1,24,1,144,-16.447450280000002,-71.590186169999996
-71.59007686,-16.44745543,1.24.1.145,1,24,1,145,-16.447455430000002,-71.590076859999996
-71.58996417,-16.44747704,1.24.1.146,1,24,1,146,-16.447477039999999,-71.589964170000002
-71.58985153,-16.44750336,1.24.1.147,1,24,1,147,-16.447503359999999,-71.589851530000004
