X,Y,UNICODE,P,D,L,V,LATITUDE,LONGITUDE
-71.59833724,-16.43491514,1.24.10.1,1,24,10,1,-16.434915140000001,-71.598337240000006
-71.59838757,-16.43354343,1.24.10.10,1,24,10,10,-16.433543430000000,-71.598387570000000
-71.599364,-16.43136359,1.24.10.100,1,24,10,100,-16.431363590000000,-71.599363999999994
-71.59929953,-16.43140036,1.24.10.101,1,24,10,101,-16.431400360000001,-71.599299529999996
-71.59922837,-16.43146415,1.24.10.102,1,24,10,102,-16.431464150000000,-71.599228370000006
-71.59914769,-16.43152421,1.24.10.103,1,24,10,103,-16.431524209999999,-71.599147689999995
-71.59903036,-16.43151013,1.24.10.104,1,24,10,104,-16.431510129999999,-71.599030360000000
-71.59890489,-16.43130292,1.24.10.105,1,24,10,105,-16.431302920000000,-71.598904890000000
-71.59881996,-16.43133049,1.24.10.106,1,24,10,106,-16.431330490000001,-71.598819960000000
-71.59897504,-16.43154436,1.24.10.107,1,24,10,107,-16.431544360000000,-71.598975039999999
-71.59893218,-16.4315619,1.24.10.108,1,24,10,108,-16.431561899999998,-71.598932180000006
-71.59888884,-16.43158228,1.24.10.109,1,24,10,109,-16.431582280000001,-71.598888840000001
-71.59849849,-16.43357225,1.24.10.11,1,24,10,11,-16.433572250000001,-71.598498489999997
-71.59884093,-16.43159394,1.24.10.110,1,24,10,110,-16.431593939999999,-71.598840929999994
-71.59878793,-16.4316033,1.24.10.111,1,24,10,111,-16.431603299999999,-71.598787930000000
-71.59888512,-16.4316456,1.24.10.112,1,24,10,112,-16.431645600000000,-71.598885120000006
-71.5989599,-16.43172082,1.24.10.113,1,24,10,113,-16.431720819999999,-71.598959899999997
-71.59904204,-16.43176761,1.24.10.114,1,24,10,114,-16.431767610000001,-71.599042040000000
-71.59911656,-16.43181358,1.24.10.115,1,24,10,115,-16.431813580000000,-71.599116559999999
-71.599187,-16.43186997,1.24.10.116,1,24,10,116,-16.431869970000001,-71.599187000000001
-71.59958237,-16.43207911,1.24.10.117,1,24,10,117,-16.432079110000000,-71.599582369999993
-71.59966235,-16.43214644,1.24.10.118,1,24,10,118,-16.432146440000000,-71.599662350000003
-71.59974942,-16.43221528,1.24.10.119,1,24,10,119,-16.432215280000001,-71.599749419999995
-71.5985942,-16.43359546,1.24.10.12,1,24,10,12,-16.433595459999999,-71.598594199999994
-71.59983638,-16.43230887,1.24.10.120,1,24,10,120,-16.432308870000000,-71.599836379999999
-71.59994954,-16.4322019,1.24.10.121,1,24,10,121,-16.432201899999999,-71.599949539999997
-71.6000575,-16.43208039,1.24.10.122,1,24,10,122,-16.432080389999999,-71.600057500000005
-71.60015449,-16.43193357,1.24.10.123,1,24,10,123,-16.431933570000002,-71.600154489999994
-71.60019641,-16.43184537,1.24.10.124,1,24,10,124,-16.431845370000001,-71.600196409999995
-71.6002511,-16.43176166,1.24.10.125,1,24,10,125,-16.431761659999999,-71.600251099999994
-71.60029226,-16.43164582,1.24.10.126,1,24,10,126,-16.431645820000000,-71.600292260000003
-71.60035297,-16.4315255,1.24.10.127,1,24,10,127,-16.431525499999999,-71.600352970000003
-71.60041162,-16.43141074,1.24.10.128,1,24,10,128,-16.431410740000000,-71.600411620000003
-71.60051358,-16.43125481,1.24.10.129,1,24,10,129,-16.431254809999999,-71.600513579999998
-71.59869114,-16.43361775,1.24.10.13,1,24,10,13,-16.433617750000000,-71.598691140000000
-71.60015676,-16.43158293,1.24.10.130,1,24,10,130,-16.431582930000001,-71.600156760000004
-71.60007028,-16.43167677,1.24.10.131,1,24,10,131,-16.431676769999999,-71.600070279999997
-71.59994446,-16.43179304,1.24.10.132,1,24,10,132,-16.431793039999999,-71.599944460000003
-71.59981652,-16.43190853,1.24.10.133,1,24,10,133,-16.431908530000001,-71.599816520000005
-71.60146268,-16.43079197,1.24.10.134,1,24,10,134,-16.430791970000001,-71.601462679999997
-71.60106429,-16.43088395,1.24.10.135,1,24,10,135,-16.430883949999998,-71.601064289999997
-71.60096852,-16.43097987,1.24.10.136,1,24,10,136,-16.430979870000002,-71.600968519999995
-71.60086019,-16.43109511,1.24.10.137,1,24,10,137,-16.431095110000001,-71.600860190000006
-71.60075311,-16.43124812,1.24.10.138,1,24,10,138,-16.431248119999999,-71.600753109999999
-71.60069664,-16.43132709,1.24.10.139,1,24,10,139,-16.431327090000000,-71.600696639999995
-71.59876421,-16.43363414,1.24.10.14,1,24,10,14,-16.433634139999999,-71.598764209999999
-71.60065616,-16.43141036,1.24.10.140,1,24,10,140,-16.431410360000001,-71.600656160000000
-71.60062048,-16.43153883,1.24.10.141,1,24,10,141,-16.431538830000001,-71.600620480000003
-71.60059316,-16.43162457,1.24.10.142,1,24,10,142,-16.431624570000000,-71.600593160000003
-71.60056415,-16.43170458,1.24.10.143,1,24,10,143,-16.431704580000002,-71.600564149999997
-71.60053453,-16.43178119,1.24.10.144,1,24,10,144,-16.431781189999999,-71.600534530000004
-71.6005,-16.43186402,1.24.10.145,1,24,10,145,-16.431864019999999,-71.600499999999997
