X,Y,UNICODE,P,D,L,V,LATITUDE,LONGITUDE
-71.59262776,-16.4443396,1.24.1.118,1,24,1,118,-16.444339599999999,-71.592627759999999
-71.59253327,-16.44302693,1.24.1.119,1,24,1,119,-16.443026929999998,-71.592533270000004
-71.59285855,-16.44254259,1.24.1.120,1,24,1,120,-16.442542589999999,-71.592858550000003
-71.5921449,-16.44332853,1.24.1.121,1,24,1,121,-16.443328529999999,-71.592144899999994
-71.5922081,-16.44360172,1.24.1.122,1,24,1,122,-16.443601720000000,-71.592208099999993
-71.59218207,-16.44458604,1.24.1.123,1,24,1,123,-16.444586040000001,-71.592182070000007
-71.59274147,-16.44053398,1.24.2.1,1,24,2,1,-16.440533980000001,-71.592741470000007
-71.59324228,-16.4419755,1.24.2.10,1,24,2,10,-16.441975500000002,-71.593242279999998
-71.59739542,-16.4427783,1.24.2.100,1,24,2,100,-16.442778300000001,-71.597395419999998
-71.59748061,-16.44285182,1.24.2.101,1,24,2,101,-16.442851820000001,-71.597480610000005
-71.5975221,-16.44290117,1.24.2.102,1,24,2,102,-16.442901169999999,-71.597522100000006
-71.59761397,-16.44294593,1.24.2.103,1,24,2,103,-16.442945930000000,-71.597613969999998
-71.59765714,-16.44289603,1.24.2.104,1,24,2,104,-16.442896030000000,-71.597657139999995
-71.59769478,-16.44280785,1.24.2.105,1,24,2,105,-16.442807850000001,-71.597694779999998
-71.59341279,-16.44217603,1.24.2.11,1,24,2,11,-16.442176029999999,-71.593412790000002
-71.59349617,-16.44229849,1.24.2.12,1,24,2,12,-16.442298489999999,-71.593496169999995
-71.5935784,-16.44243297,1.24.2.13,1,24,2,13,-16.442432969999999,-71.593578399999998
-71.59375591,-16.44232099,1.24.2.14,1,24,2,14,-16.442320989999999,-71.593755909999999
-71.59385279,-16.44249851,1.24.2.15,1,24,2,15,-16.442498510000000,-71.593852790000000
-71.59369132,-16.44262431,1.24.2.16,1,24,2,16,-16.442624309999999,-71.593691320000005
-71.59390797,-16.44287623,1.24.2.17,1,24,2,17,-16.442876230000000,-71.593907970000004
-71.59401325,-16.44277782,1.24.2.18,1,24,2,18,-16.442777820000000,-71.594013250000003
-71.5941273,-16.4429277,1.24.2.19,1,24,2,19,-16.442927699999998,-71.594127299999997
-71.5926782,-16.44063635,1.24.2.2,1,24,2,2,-16.440636349999998,-71.592678199999995
-71.59405264,-16.44303713,1.24.2.20,1,24,2,20,-16.443037130000000,-71.594052640000001
-71.59414926,-16.44316219,1.24.2.21,1,24,2,21,-16.443162189999999,-71.594149259999995
