"Ranking","occult.prob","X","Y","unicode"
"1","0","223169.359813294","8179517.61856324","1.24.1.384"
"2","0","223106.381158016","8179298.40480599","1.24.1.413"
"3","0","223333.533206526","8179526.81945066","1.24.1.574"
"4","0","223401.626324313","8179566.68402506","1.24.1.579"
"5","0","223411.419485914","8179564.15684745","1.24.1.580"
"6","0","222556.722766728","8180280.17320573","1.24.2.112"
"7","0","222572.207405305","8180286.88563698","1.24.2.113"
"8","0","222585.023113098","8180266.23976818","1.24.2.116"
"9","0","222569.844103795","8180258.52453404","1.24.2.118"
"10","0","222562.408352378","8180266.63956434","1.24.2.119"
"11","0","222522.683335811","8180248.00935718","1.24.2.130"
"12","0","222512.933509959","8180258.11001754","1.24.2.131"
"13","0","222512.984265652","8180272.07157469","1.24.2.132"
"14","0","222536.393260427","8180286.00035821","1.24.2.133"
"15","0","222537.036386086","8180274.28595625","1.24.2.134"
"16","0","222537.771540138","8180261.22467099","1.24.2.135"
"17","0","222536.911399623","8180256.21049979","1.24.2.135A"
"18","0","222492.095928884","8180274.76276702","1.24.2.174"
"19","0","222492.445009945","8180284.78380761","1.24.2.175"
"20","0","222501.523751315","8180310.31234501","1.24.2.176"
"21","0","222499.157106703","8180303.27331392","1.24.2.177"
"22","0","222496.919628239","8180294.06262","1.24.2.178"
"23","0","221988.049015981","8180439.68201695","1.24.3.128B"
"24","0","221988.587568739","8180432.41802801","1.24.3.129A"
"25","0","221989.557742894","8180430.60747005","1.24.3.129B"
"26","0","222384.432323088","8180328.11082181","1.24.3.13"
"27","0","222035.340779127","8180361.89865008","1.24.3.134A"
"28","0","222382.153365989","8180348.84237909","1.24.3.14"
"29","0","222365.143920277","8180348.68431536","1.24.3.15"
"30","0","222256.880910437","8180475.45648594","1.24.3.153"
"31","0","222280.42864749","8180463.27285781","1.24.3.156"
"32","0","222286.06223919","8180470.36068939","1.24.3.157"
"33","0","222285.769819413","8180477.08141004","1.24.3.158"
"34","0","222365.488280367","8180327.40874009","1.24.3.16"
"35","0","222318.047157796","8180413.03927721","1.24.3.161"
"36","0","222315.49331239","8180400.13913473","1.24.3.162"
"37","0","222382.600324175","8180472.5012575","1.24.3.168"
