"","id","occult.prob","","","unicode","unicode"
"1","806","0.96934","223084.107237122","8180567.21656919","1.24.6.24","1.24.6.24"
"2","574","0.959561","222794.704309077","8180569.6883025","1.24.5.42D","1.24.5.42D"
"3","249","0.614637","222111.812354314","8180547.18381673","1.24.4.37","1.24.4.37"
"4","865","0.419077","223002.050169711","8180648.59098493","1.24.6.97","1.24.6.97"
"5","294","0.413078","222794.512022335","8180723.1776675","1.24.5.101","1.24.5.101"
"6","279","0.35529","222128.54327455","8180519.00687043","1.24.4.73","1.24.4.73"
"7","767","0.333247","222800.31277833","8180700.34691679","1.24.5.86","1.24.5.86"
"8","292","0.167312","222982.902734625","8180692.21904797","1.24.5.1","1.24.5.1"
"9","866","0.158586","222996.160110197","8180641.39864697","1.24.6.98","1.24.6.98"
"10","864","0.089762","223009.424895094","8180654.59204296","1.24.6.96","1.24.6.96"
"11","769","0.037243","222821.874264698","8180694.48449899","1.24.5.88","1.24.5.88"
"12","304","0.035941","222802.851159012","8180756.37619117","1.24.5.111","1.24.5.111"
"13","268","0.034403","222097.238364163","8180498.48604571","1.24.4.63","1.24.4.63"
"14","780","0.013259","222860.093465846","8180710.81075829","1.24.5.99","1.24.5.99"
"15","768","0.010897","222808.95041075","8180697.86879645","1.24.5.87","1.24.5.87"
"16","611","0.008501","222536.328484681","8180957.21514189","1.24.5.464","1.24.5.464"
"17","850","0.008462","223035.995773231","8180653.83643888","1.24.6.80","1.24.6.80"
"18","491","0.007828","221885.529971017","8180710.06838701","1.24.5.343","1.24.5.343"
"19","688","0.007574","222443.482626959","8181031.11224594","1.24.5.530","1.24.5.530"
"20","620","0.007484","222529.552538247","8180987.88878199","1.24.5.473","1.24.5.473"
"21","703","0.007161","222584.839993887","8181103.59640714","1.24.5.544","1.24.5.544"
"22","701","0.007147","222569.878869659","8181126.2165307","1.24.5.542","1.24.5.542"
"23","635","0.006889","222502.229659302","8181028.52037801","1.24.5.488","1.24.5.488"
"24","633","0.00681","222532.027435385","8181046.15750281","1.24.5.486","1.24.5.486"
"25","705","0.006808","222598.709133558","8181084.28869131","1.24.5.546","1.24.5.546"
"26","558","0.006804","222615.880428529","8181003.6250159","1.24.5.416","1.24.5.416"
"27","555","0.006654","222588.354867051","8180991.04890484","1.24.5.413","1.24.5.413"
"28","617","0.00661","222563.062680145","8181006.70191314","1.24.5.470","1.24.5.470"
"29","653","0.006571","222516.161598485","8181067.40838405","1.24.5.505","1.24.5.505"
"30","628","0.006568","222587.057836883","8181043.79893994","1.24.5.481","1.24.5.481"
"31","692","0.006556","222470.02747385","8181070.45684887","1.24.5.534","1.24.5.534"
"32","638","0.00653","222487.710276027","8180990.5272871","1.24.5.491","1.24.5.491"
"33","593","0.006505","222598.926097657","8180982.30933445","1.24.5.447","1.24.5.447"
"34","650","0.006476","222474.647619908","8181043.72421395","1.24.5.502","1.24.5.502"
"35","636","0.00647","222493.663673396","8181015.16996987","1.24.5.489","1.24.5.489"
"36","655","0.006467","222542.429617021","8181079.88538059","1.24.5.507","1.24.5.507"
"37","557","0.006461","222606.343250786","8181001.07531117","1.24.5.415","1.24.5.415"
"38","560","0.006454","222630.148514343","8180979.62288938","1.24.5.418","1.24.5.418"
"39","652","0.006439","222503.074963627","8181059.06266855","1.24.5.504","1.24.5.504"
"40","629","0.00643","222574.107692079","8181071.68588954","1.24.5.482","1.24.5.482"
"41","618","0.006417","222551.840634671","8181001.03998078","1.24.5.471","1.24.5.471"
