"","0.03","0.02","0.02"
"1",34,33,33
"2",37,31,32
"3",37,34,29
"4",56,24,20
"5",42,36,22
"6",18,45,37
"7",44,21,35
"8",63,20,17
"9",35,49,16
"10",33,45,22
"11",36,21,43
"12",36,34,30
"13",29,28,43
"14",33,34,33
"15",38,36,26
"16",54,26,20
"17",36,34,30
"18",42,26,32
"19",37,26,37
"20",32,41,27
"21",54,14,32
"22",18,63,19
"23",56,32,12
"24",37,33,30
"25",39,43,18
"26",31,18,51
"27",61,27,12
"28",41,17,42
"29",46,21,33
"30",36,44,20
"31",46,24,30
"32",36,39,25
"33",38,23,39
"34",65,19,16
"35",46,36,18
"36",58,23,19
"37",45,19,36
"38",52,23,25
"39",50,30,20
"40",58,27,15
