"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,1,0,0
"3",3,2,0,0
"4",4,2,0,0
"5",5,2,0,0
"6",6,2,0,0
"7",7,1,0,0
"8",8,1,0,0
"9",9,1,0,0
"10",10,2,0,0
"11",11,1,0,0
"12",12,2,0,0
"13",13,2,0,0
"14",14,1,0,0
"15",15,2,0,0
"16",16,1,0,0
"17",17,1,0,0
"18",18,2,0,0
"19",19,2,0,0
"20",20,1,0,0
"21",21,2,0,0
"22",22,1,0,0
"23",23,2,0,0
"24",24,2,0,0
"25",25,1,0,0
"26",26,2,0,0
"27",27,1,0,0
"28",28,2,0,0
"29",29,1,0,0
"30",30,1,0,0
"31",31,1,0,0
"32",32,1,0,0
"33",33,2,0,0
"34",34,2,0,0
"35",35,1,0,0
"36",36,2,0,0
"37",37,1,0,0
"38",38,1,0,0
"39",39,2,0,0
"40",40,2,0,0
"41",41,2,0,0
"42",42,2,0,0
"43",43,1,0,0
"44",44,2,0,0
"45",45,2,0,0
"46",46,2,0,0
"47",47,1,0,0
"48",48,2,0,0
"49",49,2,0,0
"50",50,1,0,0
"51",51,2,0,0
"52",52,1,1,1
"53",53,1,1,2
"54",54,1,1,3
"55",55,1,1,4
"56",56,2,0,4
"57",57,1,1,5
"58",58,2,0,5
"59",59,1,1,6
"60",60,1,0,6
"61",61,1,1,7
"62",62,1,1,8
"63",63,2,0,8
"64",64,1,1,9
"65",65,2,0,9
"66",66,2,0,9
"67",67,1,1,10
"68",68,1,1,11
"69",69,1,1,12
"70",70,1,1,13
"71",71,1,1,14
"72",72,1,0,14
"73",73,1,1,15
"74",74,1,1,16
"75",75,1,1,17
"76",76,1,0,17
"77",77,1,0,17
"78",78,2,0,17
"79",79,1,0,17
"80",80,1,0,17
"81",81,1,0,17
"82",82,1,0,17
"83",83,2,0,17
"84",84,1,0,17
"85",85,2,0,17
"86",86,1,0,17
"87",87,1,0,17
"88",88,2,0,17
"89",89,1,0,17
"90",90,2,0,17
"91",91,1,0,17
"92",92,1,0,17
"93",93,1,0,17
"94",94,1,1,18
"95",95,1,1,19
"96",96,1,0,19
"97",97,1,0,19
"98",98,1,0,19
"99",99,1,0,19
"100",100,1,0,19
