"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,2,0,0
"3",3,1,0,0
"4",4,1,0,0
"5",5,1,0,0
"6",6,2,0,0
"7",7,2,0,0
"8",8,2,0,0
"9",9,2,0,0
"10",10,2,0,0
"11",11,2,0,0
"12",12,1,0,0
"13",13,2,0,0
"14",14,2,0,0
"15",15,2,0,0
"16",16,2,0,0
"17",17,1,0,0
"18",18,1,0,0
"19",19,2,0,0
"20",20,2,0,0
"21",21,2,0,0
"22",22,1,1,1
"23",23,1,0,1
"24",24,1,0,1
"25",25,1,0,1
"26",26,1,0,1
"27",27,1,0,1
"28",28,1,0,1
"29",29,2,0,1
"30",30,2,0,1
"31",31,2,0,1
"32",32,1,0,1
"33",33,2,0,1
"34",34,2,0,1
"35",35,1,0,1
"36",36,2,0,1
"37",37,2,0,1
"38",38,2,0,1
"39",39,1,0,1
"40",40,2,0,1
"41",41,1,0,1
"42",42,1,0,1
"43",43,1,0,1
"44",44,1,0,1
"45",45,2,0,1
"46",46,1,0,1
"47",47,2,0,1
"48",48,2,0,1
"49",49,1,0,1
"50",50,2,0,1
"51",51,1,0,1
"52",52,1,0,1
"53",53,1,0,1
"54",54,1,0,1
"55",55,2,0,1
"56",56,1,0,1
"57",57,1,0,1
"58",58,1,0,1
"59",59,2,0,1
"60",60,2,0,1
"61",61,2,0,1
"62",62,1,0,1
"63",63,2,0,1
"64",64,1,0,1
"65",65,1,0,1
"66",66,1,0,1
"67",67,1,1,2
"68",68,1,0,2
"69",69,2,0,2
"70",70,1,1,3
"71",71,1,1,4
"72",72,2,0,4
"73",73,1,0,4
"74",74,1,0,4
"75",75,1,0,4
"76",76,1,0,4
"77",77,1,1,5
"78",78,1,1,6
"79",79,2,0,6
"80",80,1,0,6
"81",81,1,0,6
"82",82,1,0,6
"83",83,1,0,6
"84",84,1,1,7
"85",85,2,0,7
"86",86,1,0,7
"87",87,1,0,7
"88",88,1,0,7
"89",89,1,0,7
"90",90,2,0,7
"91",91,1,0,7
"92",92,1,0,7
"93",93,1,0,7
"94",94,2,0,7
"95",95,1,0,7
"96",96,2,0,7
"97",97,2,0,7
"98",98,1,0,7
"99",99,2,0,7
"100",100,2,0,7
"101",101,1,0,7
"102",102,1,0,7
"103",103,1,0,7
"104",104,1,0,7
"105",105,2,0,7
"106",106,1,1,8
"107",107,2,0,8
"108",108,1,0,8
"109",109,1,0,8
"110",110,1,0,8
"111",111,1,0,8
"112",112,2,0,8
"113",113,1,0,8
"114",114,2,0,8
"115",115,2,1,9
"116",116,2,0,9
"117",117,1,0,9
"118",118,1,1,10
"119",119,1,0,10
"120",120,1,0,10
"121",121,2,0,10
"122",122,1,0,10
"123",123,1,0,10
"124",124,1,0,10
"125",125,1,0,10
"126",126,1,0,10
"127",127,1,0,10
"128",128,2,0,10
"129",129,1,0,10
"130",130,2,0,10
"131",131,1,0,10
"132",132,1,0,10
"133",133,1,0,10
"134",134,2,0,10
"135",135,1,1,11
"136",136,2,0,11
"137",137,1,0,11
"138",138,1,0,11
"139",139,1,0,11
"140",140,1,0,11
"141",141,1,0,11
"142",142,2,0,11
"143",143,1,0,11
"144",144,1,0,11
"145",145,2,0,11
"146",146,1,0,11
"147",147,2,0,11
"148",148,1,0,11
"149",149,1,0,11
"150",150,1,0,11
"151",151,1,0,11
"152",152,2,0,11
"153",153,2,0,11
"154",154,1,0,11
"155",155,2,0,11
"156",156,2,0,11
"157",157,1,0,11
"158",158,2,0,11
"159",159,1,0,11
"160",160,1,0,11
"161",161,2,0,11
"162",162,1,0,11
"163",163,1,0,11
"164",164,2,0,11
"165",165,1,0,11
"166",166,1,0,11
"167",167,1,0,11
"168",168,1,0,11
"169",169,1,0,11
"170",170,2,0,11
"171",171,1,0,11
"172",172,1,0,11
"173",173,2,0,11
"174",174,1,0,11
"175",175,1,0,11
"176",176,1,1,12
"177",177,1,0,12
"178",178,1,0,12
"179",179,1,0,12
"180",180,1,0,12
"181",181,2,0,12
"182",182,2,0,12
"183",183,1,0,12
"184",184,1,0,12
"185",185,1,0,12
"186",186,2,0,12
"187",187,2,0,12
"188",188,1,0,12
"189",189,2,0,12
"190",190,2,0,12
"191",191,1,0,12
"192",192,1,0,12
"193",193,1,0,12
"194",194,2,0,12
"195",195,1,0,12
"196",196,2,0,12
"197",197,1,0,12
"198",198,1,0,12
"199",199,2,0,12
"200",200,1,0,12
"201",201,1,0,12
"202",202,1,0,12
"203",203,2,0,12
"204",204,1,0,12
"205",205,2,0,12
"206",206,1,0,12
"207",207,1,0,12
"208",208,1,0,12
"209",209,2,0,12
"210",210,1,0,12
"211",211,1,0,12
"212",212,2,0,12
"213",213,2,0,12
"214",214,1,0,12
"215",215,1,0,12
"216",216,1,0,12
"217",217,1,0,12
"218",218,1,0,12
"219",219,1,0,12
"220",220,2,0,12
"221",221,2,0,12
"222",222,1,0,12
"223",223,2,1,13
"224",224,1,0,13
"225",225,1,0,13
"226",226,2,0,13
"227",227,2,0,13
"228",228,1,0,13
"229",229,2,0,13
"230",230,1,0,13
"231",231,1,0,13
"232",232,2,0,13
"233",233,1,0,13
"234",234,2,0,13
"235",235,2,0,13
"236",236,2,0,13
"237",237,1,0,13
"238",238,1,0,13
"239",239,1,0,13
"240",240,2,0,13
"241",241,2,0,13
"242",242,1,0,13
"243",243,1,0,13
"244",244,1,0,13
"245",245,1,0,13
"246",246,1,0,13
"247",247,2,0,13
"248",248,2,0,13
"249",249,1,0,13
"250",250,1,0,13
"251",251,1,0,13
"252",252,1,0,13
"253",253,1,0,13
"254",254,2,0,13
"255",255,2,0,13
"256",256,1,0,13
"257",257,1,0,13
"258",258,1,0,13
"259",259,1,0,13
"260",260,1,0,13
"261",261,1,0,13
"262",262,1,0,13
"263",263,2,0,13
"264",264,1,0,13
"265",265,1,0,13
"266",266,1,0,13
"267",267,1,0,13
"268",268,1,0,13
"269",269,1,0,13
"270",270,1,0,13
"271",271,1,0,13
"272",272,1,0,13
"273",273,1,1,14
"274",274,1,0,14
"275",275,2,0,14
"276",276,1,0,14
"277",277,1,0,14
"278",278,1,0,14
"279",279,2,0,14
"280",280,2,0,14
"281",281,1,0,14
"282",282,1,0,14
"283",283,2,0,14
"284",284,1,0,14
"285",285,1,0,14
"286",286,1,0,14
"287",287,2,0,14
"288",288,1,0,14
"289",289,1,0,14
"290",290,1,0,14
"291",291,1,0,14
"292",292,1,0,14
"293",293,2,0,14
"294",294,1,0,14
"295",295,1,0,14
"296",296,1,0,14
"297",297,1,0,14
"298",298,1,0,14
"299",299,2,0,14
"300",300,2,0,14
"301",301,2,0,14
"302",302,2,0,14
"303",303,1,0,14
"304",304,2,0,14
"305",305,1,0,14
"306",306,1,1,15
"307",307,1,0,15
"308",308,1,0,15
"309",309,1,0,15
"310",310,1,0,15
"311",311,1,0,15
"312",312,1,0,15
"313",313,1,0,15
"314",314,1,1,16
"315",315,1,0,16
"316",316,1,0,16
"317",317,1,0,16
"318",318,1,0,16
"319",319,2,0,16
"320",320,1,0,16
"321",321,1,0,16
"322",322,1,0,16
"323",323,1,0,16
"324",324,1,0,16
"325",325,1,0,16
"326",326,1,0,16
"327",327,1,0,16
"328",328,1,0,16
"329",329,1,0,16
"330",330,1,0,16
"331",331,2,0,16
"332",332,1,0,16
"333",333,1,0,16
"334",334,1,0,16
"335",335,1,0,16
"336",336,1,0,16
"337",337,1,0,16
"338",338,1,0,16
"339",339,1,0,16
"340",340,1,0,16
"341",341,1,0,16
"342",342,1,0,16
"343",343,2,0,16
"344",344,1,0,16
"345",345,1,0,16
"346",346,1,0,16
"347",347,1,0,16
"348",348,1,0,16
"349",349,1,0,16
"350",350,1,0,16
"351",351,1,0,16
"352",352,1,0,16
"353",353,1,0,16
"354",354,1,0,16
"355",355,1,0,16
"356",356,1,0,16
"357",357,1,0,16
"358",358,2,0,16
"359",359,1,0,16
"360",360,2,0,16
"361",361,2,0,16
"362",362,1,0,16
"363",363,2,0,16
"364",364,1,0,16
"365",365,2,0,16
"366",366,2,0,16
"367",367,2,0,16
"368",368,1,0,16
"369",369,1,0,16
"370",370,2,0,16
"371",371,1,0,16
"372",372,2,0,16
"373",373,1,0,16
"374",374,1,0,16
"375",375,1,0,16
"376",376,1,0,16
"377",377,1,0,16
"378",378,1,0,16
"379",379,1,0,16
"380",380,1,0,16
"381",381,1,0,16
"382",382,1,0,16
"383",383,1,0,16
"384",384,1,0,16
"385",385,1,0,16
"386",386,1,0,16
"387",387,1,0,16
"388",388,1,0,16
"389",389,2,0,16
"390",390,1,0,16
"391",391,1,0,16
"392",392,1,0,16
"393",393,1,0,16
"394",394,1,0,16
"395",395,1,0,16
"396",396,1,0,16
"397",397,1,0,16
"398",398,1,0,16
"399",399,1,0,16
"400",400,1,0,16
"401",401,1,0,16
"402",402,2,0,16
"403",403,1,0,16
"404",404,1,0,16
"405",405,1,0,16
"406",406,1,0,16
"407",407,1,0,16
"408",408,1,0,16
"409",409,1,0,16
"410",410,1,0,16
"411",411,1,0,16
"412",412,1,0,16
"413",413,1,0,16
"414",414,2,0,16
"415",415,1,0,16
"416",416,1,0,16
"417",417,2,0,16
"418",418,1,0,16
"419",419,1,0,16
"420",420,1,0,16
"421",421,1,0,16
"422",422,1,0,16
"423",423,1,0,16
"424",424,1,1,17
"425",425,1,0,17
"426",426,2,0,17
"427",427,1,0,17
"428",428,1,0,17
"429",429,1,0,17
"430",430,1,0,17
"431",431,1,0,17
"432",432,1,0,17
"433",433,1,0,17
"434",434,2,0,17
"435",435,1,0,17
"436",436,1,0,17
"437",437,1,0,17
"438",438,1,0,17
"439",439,1,0,17
"440",440,1,0,17
"441",441,1,0,17
"442",442,1,0,17
"443",443,1,0,17
"444",444,1,0,17
"445",445,1,0,17
"446",446,1,0,17
"447",447,2,0,17
"448",448,1,0,17
"449",449,1,0,17
"450",450,1,0,17
"451",451,1,0,17
"452",452,2,0,17
"453",453,2,0,17
"454",454,1,0,17
"455",455,1,0,17
"456",456,2,0,17
"457",457,1,0,17
"458",458,1,0,17
"459",459,1,0,17
"460",460,1,0,17
"461",461,1,0,17
"462",462,1,0,17
"463",463,1,0,17
"464",464,1,0,17
"465",465,1,0,17
"466",466,1,0,17
"467",467,1,0,17
"468",468,1,0,17
"469",469,1,0,17
"470",470,1,0,17
"471",471,1,0,17
"472",472,2,0,17
"473",473,1,0,17
"474",474,1,0,17
"475",475,2,0,17
"476",476,1,0,17
"477",477,1,0,17
"478",478,1,0,17
"479",479,2,0,17
"480",480,1,0,17
"481",481,1,0,17
"482",482,1,0,17
"483",483,1,0,17
"484",484,1,0,17
"485",485,1,0,17
"486",486,1,0,17
"487",487,1,0,17
"488",488,1,0,17
"489",489,1,0,17
"490",490,2,0,17
"491",491,1,0,17
"492",492,2,0,17
"493",493,1,0,17
"494",494,1,0,17
"495",495,1,1,18
"496",496,1,0,18
"497",497,1,0,18
"498",498,1,0,18
"499",499,1,0,18
"500",500,2,0,18
"501",501,1,0,18
"502",502,2,0,18
"503",503,1,0,18
"504",504,1,0,18
"505",505,1,0,18
"506",506,1,0,18
"507",507,1,0,18
