"","times","ChosenArm","Reward","pA","wins.by.A.timeline"
"1",1,1,0,NA,0
"2",2,1,0,NA,0
"3",3,1,0,NA,0
"4",4,1,0,NA,0
"5",5,1,0,NA,0
"6",6,2,0,NA,0
"7",7,2,0,NA,0
"8",8,2,0,NA,0
"9",9,2,0,NA,0
"10",10,1,0,NA,0
"11",11,1,0,NA,0
"12",12,1,0,NA,0
"13",13,1,0,NA,0
"14",14,2,0,NA,0
"15",15,1,0,NA,0
"16",16,2,0,NA,0
"17",17,2,0,NA,0
"18",18,1,1,NA,0
"19",19,1,0,NA,0
"20",20,1,0,NA,0
"21",21,2,0,NA,0
"22",22,2,0,NA,0
"23",23,1,0,NA,0
"24",24,1,0,NA,0
"25",25,2,0,NA,0
"26",26,1,0,NA,0
"27",27,1,0,NA,0
"28",28,1,1,NA,0
"29",29,2,0,NA,0
"30",30,1,0,NA,0
"31",31,1,0,NA,0
"32",32,1,0,NA,0
"33",33,1,0,NA,0
"34",34,2,0,NA,0
"35",35,2,0,NA,0
"36",36,1,0,NA,0
"37",37,2,0,NA,0
"38",38,1,0,NA,0
"39",39,1,0,NA,0
"40",40,2,0,NA,0
"41",41,1,0,NA,0
"42",42,2,0,NA,0
"43",43,1,0,NA,0
"44",44,1,0,NA,0
"45",45,2,0,NA,0
"46",46,2,0,NA,0
"47",47,1,0,NA,0
"48",48,1,0,NA,0
"49",49,2,0,NA,0
"50",50,2,0,NA,0
"51",51,1,0,NA,0
"52",52,1,0,NA,0
"53",53,2,0,NA,0
"54",54,1,0,NA,0
"55",55,2,0,NA,0
"56",56,2,0,NA,0
"57",57,2,0,NA,0
"58",58,1,0,NA,0
"59",59,1,0,NA,0
"60",60,1,0,NA,0
"61",61,1,0,NA,0
"62",62,1,0,NA,0
"63",63,2,0,NA,0
"64",64,1,0,NA,0
"65",65,2,0,NA,0
"66",66,1,0,NA,0
"67",67,2,0,NA,0
"68",68,1,0,NA,0
"69",69,2,0,NA,0
"70",70,2,0,NA,0
"71",71,1,0,NA,0
"72",72,1,0,NA,0
"73",73,1,0,NA,0
"74",74,1,0,NA,0
"75",75,1,0,NA,0
"76",76,1,0,NA,0
"77",77,1,0,NA,0
"78",78,1,0,NA,0
"79",79,1,0,NA,0
"80",80,1,0,NA,0
"81",81,1,0,NA,0
"82",82,1,0,NA,0
"83",83,1,0,NA,0
"84",84,2,0,NA,0
"85",85,1,0,NA,0
