"","times","ChosenArm","Reward","CumulativeReward","pA","wins.by.A.timeline"
"1",1,1,0,0,0.5,0
"2",2,1,0,0,0.5,0
"3",3,1,0,0,0.5,0
"4",4,2,0,0,0.5,-1
"5",5,2,0,0,0.5,-1
"6",6,2,0,0,0.5,-1
"7",7,1,0,0,0.5,0
"8",8,2,0,0,0.5,-1
"9",9,1,0,0,0.5,0
"10",10,1,0,0,0.5,0
"11",11,2,0,0,0.5,-1
"12",12,2,0,0,0.5,-1
"13",13,2,0,0,0.5,-1
"14",14,2,0,0,0.5,-1
"15",15,2,0,0,0.5,-1
"16",16,1,0,0,0.5,0
"17",17,2,1,1,0.5,-1
"18",18,2,0,1,0.47502081252106,-1
"19",19,2,0,1,0.47502081252106,-1
"20",20,2,0,1,0.47502081252106,-1
"21",21,1,0,1,0.47502081252106,0
"22",22,2,0,1,0.47502081252106,-1
"23",23,2,0,1,0.47502081252106,-1
"24",24,1,0,1,0.47502081252106,0
"25",25,2,0,1,0.47502081252106,-1
"26",26,2,0,1,0.47502081252106,-1
"27",27,1,0,1,0.47502081252106,0
"28",28,2,0,1,0.47502081252106,-1
"29",29,2,0,1,0.47502081252106,-1
"30",30,1,0,1,0.47502081252106,0
"31",31,1,0,1,0.47502081252106,0
"32",32,2,0,1,0.47502081252106,-1
"33",33,2,0,1,0.47502081252106,-1
"34",34,1,0,1,0.47502081252106,0
"35",35,2,0,1,0.47502081252106,-1
"36",36,2,1,2,0.47502081252106,-1
"37",37,2,0,2,0.450166002687522,-1
"38",38,2,0,2,0.450166002687522,-1
"39",39,1,0,2,0.450166002687522,0
"40",40,1,0,2,0.450166002687522,0
"41",41,2,0,2,0.450166002687522,-1
"42",42,2,0,2,0.450166002687522,-1
"43",43,2,0,2,0.450166002687522,-1
"44",44,1,0,2,0.450166002687522,0
"45",45,1,0,2,0.450166002687522,0
"46",46,2,0,2,0.450166002687522,-1
"47",47,1,0,2,0.450166002687522,0
"48",48,2,0,2,0.450166002687522,-1
"49",49,2,0,2,0.450166002687522,-1
"50",50,1,0,2,0.450166002687522,0
"51",51,1,0,2,0.450166002687522,0
"52",52,1,1,3,0.450166002687522,0
"53",53,1,0,3,0.47502081252106,0
"54",54,1,0,3,0.47502081252106,0
"55",55,1,1,4,0.47502081252106,0
"56",56,1,0,4,0.5,0
"57",57,1,0,4,0.5,0
"58",58,2,0,4,0.5,-1
"59",59,2,0,4,0.5,-1
"60",60,2,0,4,0.5,-1
"61",61,2,0,4,0.5,-1
"62",62,2,0,4,0.5,-1
"63",63,1,0,4,0.5,0
"64",64,1,0,4,0.5,0
"65",65,1,0,4,0.5,0
"66",66,2,0,4,0.5,-1
"67",67,1,0,4,0.5,0
"68",68,1,0,4,0.5,0
"69",69,2,0,4,0.5,-1
"70",70,1,0,4,0.5,0
"71",71,1,0,4,0.5,0
"72",72,1,0,4,0.5,0
"73",73,1,0,4,0.5,0
"74",74,1,0,4,0.5,0
"75",75,2,0,4,0.5,-1
"76",76,1,0,4,0.5,0
"77",77,2,0,4,0.5,-1
"78",78,1,0,4,0.5,0
"79",79,1,0,4,0.5,0
"80",80,1,0,4,0.5,0
"81",81,1,0,4,0.5,0
"82",82,2,0,4,0.5,-1
"83",83,2,0,4,0.5,-1
"84",84,1,0,4,0.5,0
"85",85,2,0,4,0.5,-1
"86",86,2,0,4,0.5,-1
"87",87,2,0,4,0.5,-1
"88",88,2,0,4,0.5,-1
"89",89,1,0,4,0.5,0
"90",90,1,0,4,0.5,0
"91",91,2,0,4,0.5,-1
"92",92,2,0,4,0.5,-1
"93",93,1,0,4,0.5,0
"94",94,1,0,4,0.5,0
"95",95,2,0,4,0.5,-1
"96",96,2,0,4,0.5,-1
"97",97,2,0,4,0.5,-1
"98",98,2,0,4,0.5,-1
"99",99,2,0,4,0.5,-1
"100",100,2,0,4,0.5,-1
"101",101,1,0,4,0.5,0
"102",102,2,0,4,0.5,-1
"103",103,2,0,4,0.5,-1
"104",104,1,0,4,0.5,0
"105",105,1,0,4,0.5,0
