"","T","ChosenArm","Reward","CumulativeReward"
"1",1,1,-0.392219493948036,-0.392219493948036
"2",2,1,0.417080288193878,0.0248607942458425
"3",3,1,0,0.0248607942458425
"4",4,2,3.68307968281847,3.70794047706432
"5",5,2,0.947213535214963,4.65515401227928
"6",6,2,0,4.65515401227928
"7",7,2,0,4.65515401227928
"8",8,3,0,4.65515401227928
"9",9,2,0,4.65515401227928
"10",10,1,0,4.65515401227928
"11",11,2,0,4.65515401227928
"12",12,3,2.33350859052512,6.9886626028044
"13",13,3,0,6.9886626028044
"14",14,3,0,6.9886626028044
"15",15,2,1.05755362077604,8.04621622358044
"16",16,1,1.74360684022487,9.78982306380531
"17",17,1,0,9.78982306380531
"18",18,2,0,9.78982306380531
"19",19,3,0,9.78982306380531
"20",20,1,0,9.78982306380531
"21",21,2,0.222824905260979,10.0126479690663
"22",22,3,0,10.0126479690663
"23",23,1,0.493878491933562,10.5065264609998
"24",24,2,2.19427531084006,12.7008017718399
"25",25,2,0,12.7008017718399
"26",26,2,3.00376688269452,15.7045686545344
"27",27,2,1.58770376416513,17.2922724186996
"28",28,2,1.51151979114968,18.8037922098492
"29",29,2,0,18.8037922098492
"30",30,2,1.53775633950532,20.3415485493546
"31",31,2,0,20.3415485493546
"32",32,2,0,20.3415485493546
"33",33,2,0,20.3415485493546
"34",34,1,0,20.3415485493546
"35",35,2,0.931151157208615,21.2726997065632
"36",36,2,0,21.2726997065632
"37",37,3,0,21.2726997065632
"38",38,2,0,21.2726997065632
"39",39,1,1.22729416926592,22.4999938758291
"40",40,1,0,22.4999938758291
"41",41,2,3.7361191799437,26.2361130557728
"42",42,2,0,26.2361130557728
"43",43,2,0,26.2361130557728
"44",44,2,0,26.2361130557728
"45",45,1,0.451709024776871,26.6878220805497
"46",46,2,0,26.6878220805497
"47",47,3,3.33741486684233,30.025236947392
"48",48,3,2.03706164801954,32.0622985954115
"49",49,3,0,32.0622985954115
"50",50,3,3.18216140986116,35.2444600052727
"51",51,3,0,35.2444600052727
"52",52,3,2.11054654072848,37.3550065460012
"53",53,3,3.18979583045912,40.5448023764603
"54",54,3,3.88550857787012,44.4303109543304
"55",55,3,1.47746284665072,45.9077738009811
"56",56,3,0,45.9077738009811
"57",57,3,0,45.9077738009811
"58",58,3,2.97044095536923,48.8782147563504
"59",59,3,0,48.8782147563504
"60",60,3,1.92578804095687,50.8040027973072
"61",61,3,0,50.8040027973072
"62",62,3,3.08696068178876,53.890963479096
"63",63,3,3.37638997367427,57.2673534527703
"64",64,3,2.08835000547461,59.3557034582449
"65",65,3,3.88909993564726,63.2448033938921
"66",66,3,3.02809646268455,66.2728998565767
"67",67,3,0,66.2728998565767
"68",68,3,2.77165118539377,69.0445510419704
"69",69,3,0,69.0445510419704
"70",70,3,2.86768006779583,71.9122311097663
"71",71,3,4.48044487907113,76.3926759888374
"72",72,3,2.55544905687907,78.9481250457165
"73",73,3,0,78.9481250457165
"74",74,3,0,78.9481250457165
"75",75,3,4.02344094345678,82.9715659891733
"76",76,3,3.51492172107404,86.4864877102473
"77",77,3,2.84668524782449,89.3331729580718
"78",78,3,2.62714613054885,91.9603190886206
"79",79,3,0,91.9603190886206
"80",80,3,1.72835558461527,93.6886746732359
"81",81,3,3.5560896078724,97.2447642811083
"82",82,3,4.00403742508112,101.248801706189
"83",83,3,1.93265261632146,103.181454322511
"84",84,3,2.93815740647663,106.119611728988
"85",85,3,0,106.119611728988
"86",86,3,0,106.119611728988
"87",87,3,0,106.119611728988
"88",88,3,2.31168813275963,108.431299861747
"89",89,3,0,108.431299861747
"90",90,3,0,108.431299861747
"91",91,3,0.842185334846064,109.273485196593
"92",92,3,4.11253940197814,113.386024598571
"93",93,3,2.83066696500844,116.21669156358
"94",94,3,0,116.21669156358
"95",95,3,2.29468782391234,118.511379387492
"96",96,3,0,118.511379387492
"97",97,3,4.99802717116552,123.509406558658
"98",98,3,2.46493504231866,125.974341600976
"99",99,3,0,125.974341600976
"100",100,3,3.44206158439436,129.416403185371
