"","X.1","id_manz","P","D","L","X","Y","X1_FR_A","X2_FR_A","YearLastAFII","ageAP","nbSpray","nbSprayI","nbSprayII","nbPos","DenH","InspH","PosInspH","RocH","PosRocH","Total","nbDen","nbInsp","nbInspProg","nbInspPos","nbRoc","nbRocProg","nbRocPos","IIspray","Unspray","ManzPos2012","ManzPosPre2012","ManzVigPre2012","NextManzPosPre2012","codeLoc","focus","Den1","DenPredicted","LogDenPredicted"
"1",4,"0-13",1,13,"93",232994.976452176,8184310.07336882,8,9,9,3,40,33,31,3,0,0,0,0,0,51,0,0,0,0,0,0,0,9,11,FALSE,FALSE,FALSE,FALSE,"1.13.93",TRUE,FALSE,0.0603647464937803,2.80735001176296
"2",5,"0-18",1,18,"1",223329.7102115,8180755.661008,4,5,5,7,8,8,7,5,0,1,1,2,1,8,0,1,1,1,2,2,1,5,0,FALSE,TRUE,TRUE,TRUE,"1.18.1",TRUE,FALSE,0.0632734002997876,2.76029025458073
"3",6,"0-23",1,23,"1",218722.492479667,8182072.65225267,5,6,6,6,7,7,6,1,0,0,0,0,0,9,0,0,0,0,0,0,0,6,2,FALSE,FALSE,FALSE,FALSE,"1.23.1",TRUE,FALSE,0.0679194958894938,2.68943215912829
"4",7,"0-24",1,24,"1",222428.2928631,8179815.6682565,4,5,5,7,10,8,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.24.1",TRUE,FALSE,0.111217818639955,2.1962646704347
"5",8,"0-25",1,25,"1",229222.808240833,8181764.50427933,NA,6,6,6,16,14,15,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,2,FALSE,FALSE,FALSE,FALSE,"1.25.1",TRUE,FALSE,0.00809598400086661,4.81638714261652
"6",10,"0-7",1,7,"1",226371.760964833,8179951.16404367,3,4,4,8,6,6,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,FALSE,FALSE,FALSE,FALSE,"1.7.1",TRUE,FALSE,0.067290981347266,2.69872905803826
"7",12,"0-9",1,9,"1",203023.6021975,8170558.49664733,NA,9,9,3,100,92,90,1,0,0,0,0,0,148,0,0,0,0,0,0,0,9,48,FALSE,FALSE,FALSE,FALSE,"1.9.1",TRUE,FALSE,0.0550358154069541,2.89977111646402
"8",25,"100-18",1,18,"4",224428.698059667,8180276.43981817,4,5,5,7,2,2,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,5,4,FALSE,FALSE,FALSE,FALSE,"1.18.4",TRUE,FALSE,0.0321531851605876,3.43724376133683
"9",32,"100-25",1,25,"3",230368.514266875,8179655.498799,5.125,6,6,6,8,8,7,5,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,"1.25.3",TRUE,FALSE,0.0212613188825509,3.85086587212461
"10",43,"1005-13",1,13,"6",233979.82465028,8181674.02430136,7,8,8,4,24,23,20,3,0,0,0,0,0,25,0,0,0,0,0,0,0,8,1,FALSE,FALSE,FALSE,FALSE,"1.13.6",TRUE,FALSE,0.02195289543534,3.81885623766653
"11",47,"1006-13",1,13,"6",233888.431059889,8181630.84914456,7,8,8,4,7,6,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,2,FALSE,FALSE,FALSE,FALSE,"1.13.6",TRUE,FALSE,0.0107818474970089,4.52989134627372
"12",50,"100-7",1,7,"8",225896.903178,8179647.12602813,3,4,4,8,8,8,7,2,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,FALSE,FALSE,FALSE,FALSE,"1.7.8",TRUE,FALSE,0.0880444944419577,2.42991297362736
"13",55,"100-8",1,8,"9",231013.217372857,8179909.81807614,6,7,7,5,14,13,12,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.8.9",TRUE,FALSE,0.00587377249665912,5.13725817752111
"14",57,"1008-13",1,13,"10",234211.3244046,8181469.3633092,6,7,7,5,4,4,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0364271337099677,3.31244135044306
"15",60,"100-9",1,9,"11",198780.611946667,8181476.55709889,8,9,9,3,9,9,9,5,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,FALSE,FALSE,FALSE,FALSE,"1.9.11",TRUE,FALSE,0.00417609065242342,5.47837972068161
"16",62,"1009-13",1,13,"10",234249.07542375,8181471.35424425,6,7,7,5,7,5,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0136983819834674,4.29047755651935
"17",63,"1009-25",1,25,"44",229639.240873893,8179913.99333004,6,6,6,6,24,20,22,9,1,4,2,7,1,28,1,4,8,2,7,7,1,6,4,TRUE,TRUE,TRUE,TRUE,"1.25.44",TRUE,TRUE,0.0390668520666277,3.24248094478581
"18",68,"1010-13",1,13,"10",234289.358590571,8181478.396272,6,7,7,5,6,6,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0137839906542098,4.28424745777402
"19",69,"1010-25",1,25,"44",229669.9764096,8179970.9477126,NA,6,6,6,16,13,15,1,0,0,0,0,0,20,0,0,0,0,0,0,0,6,4,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.0134625558032275,4.30784309142168
"20",76,"1011-13",1,13,"10",234331.907977375,8181491.82181925,6,7,7,5,7,7,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0136983819834674,4.29047755651935
"21",77,"1011-25",1,25,"44",229689.261176929,8180010.93570536,6,6,6,6,14,13,14,6,0,0,0,3,0,14,0,0,0,0,3,3,0,6,0,FALSE,FALSE,TRUE,FALSE,"1.25.44",TRUE,FALSE,0.0225705112173562,3.79111103810543
"22",78,"101-13",1,13,"55",233843.146367947,8182478.231096,7,8,8,4,16,13,11,0,0,0,0,0,0,19,0,0,0,0,0,0,0,8,3,FALSE,FALSE,FALSE,FALSE,"1.13.55",TRUE,FALSE,0.013017083226657,4.34149268982869
"23",80,"101-18",1,18,"4",224472.519742,8180276.48428,4,5,5,7,6,6,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,2,FALSE,FALSE,FALSE,FALSE,"1.18.4",TRUE,FALSE,0.0227946896964281,3.78122767820044
"24",82,"1012-13",1,13,"10",234336.285033429,8181445.85354586,6,7,7,5,7,6,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0102198079419265,4.58342748675826
"25",83,"1012-25",1,25,"44",229728.737859167,8180071.9877611,6,6,6,6,40,39,37,8,0,0,0,0,0,42,0,0,0,0,0,0,0,6,2,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.031729063685824,3.45052218262091
"26",87,"101-25",1,25,"3",230324.284145273,8179636.44133636,5.45454545454545,6,6,6,10,10,9,5,0,0,0,0,0,11,0,0,0,0,0,0,0,6,1,FALSE,FALSE,FALSE,FALSE,"1.25.3",TRUE,FALSE,0.0241401340841721,3.72387950888857
"27",90,"1013-13",1,13,"10",234292.205721125,8181429.17063138,6.125,7,7,5,6,6,5,1,0,0,0,0,0,8,0,0,0,0,0,0,0,7,2,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0261824276102058,3.64266679513677
"28",91,"1013-25",1,25,"44",229629.792415,8180082.91178327,6,6,6,6,11,11,11,6,0,0,0,0,0,15,0,0,0,0,0,0,0,6,4,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.0317837840331079,3.44879905532341
"29",94,"1014-13",1,13,"10",234245.4405135,8181420.05367475,6,7,7,5,6,6,6,1,0,0,0,0,0,8,0,0,0,0,0,0,0,7,2,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0261824276102058,3.64266679513677
"30",95,"1014-25",1,25,"44",229600.73462,8180033.05172473,6,6,6,6,11,11,8,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.00758959184860042,4.88097746390847
"31",98,"1015-13",1,13,"10",234211.885638,8181418.3351335,6,7,7,5,4,4,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0327559216247391,3.41867152027644
"32",99,"1015-25",1,25,"44",229550.196973765,8180071.32347971,6,6,6,6,12,10,11,3,0,0,0,0,0,17,0,0,0,0,0,0,0,6,5,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.022412661403201,3.79812923859546
"33",102,"1016-13",1,13,"10",234242.643042938,8181350.22707581,6.125,7,7,5,15,15,13,6,0,0,0,0,0,16,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0504145921828317,2.98747461837266
"34",103,"1016-25",1,25,"44",229530.4080826,8179978.55907935,6,6,6,6,17,13,17,2,0,0,0,0,0,20,0,0,0,0,0,0,0,6,3,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.0171130741941653,4.06791253485217
"35",105,"101-7",1,7,"8",225990.369338111,8179711.07596122,3,4,4,8,9,9,6,4,0,0,0,2,0,9,0,0,0,0,2,2,0,4,0,FALSE,FALSE,TRUE,FALSE,"1.7.8",TRUE,FALSE,0.099599975145958,2.30659336393019
"36",107,"1017-13",1,13,"10",234297.955852545,8181368.83845382,6.09090909090909,7,7,5,10,10,9,1,0,0,0,0,0,11,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.021831862559199,3.82438479097888
"37",108,"1017-25",1,25,"44",229407.514439733,8180059.11377217,NA,6,6,6,24,19,23,0,0,0,0,0,0,30,0,0,0,0,0,0,0,6,6,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.00844837165398626,4.77378155985306
"38",110,"10-18",1,18,"1",223387.862615286,8180938.91873586,4,5,5,7,7,6,4,1,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.18.1",TRUE,FALSE,0.0408423642119688,3.19803539774395
"39",111,"101-8",1,8,"9",231088.539971619,8179924.65849057,6,7,7,5,18,16,16,6,0,0,0,0,0,21,0,0,0,0,0,0,0,7,3,FALSE,FALSE,FALSE,FALSE,"1.8.9",TRUE,FALSE,0.0390955131055308,3.24174757290985
"40",113,"1018-13",1,13,"10",234343.699556571,8181400.66261229,6,7,7,5,7,7,7,2,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.022322817641742,3.80214591100713
"41",114,"1018-25",1,25,"44",229484.306588241,8180131.48249518,NA,6,6,6,51,43,47,2,0,0,0,0,0,54,0,0,0,0,0,0,0,6,3,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.0162658402032015,4.11868806326211
"42",116,"101-9",1,9,"11",198875.036094455,8181545.62324382,8,9,9,3,10,10,10,5,0,0,0,0,0,11,0,0,0,0,0,0,0,9,1,FALSE,FALSE,FALSE,FALSE,"1.9.11",TRUE,FALSE,0.00702789923721693,4.95786744609403
"43",118,"1019-13",1,13,"10",234345.445538571,8181338.58266643,6,7,7,5,12,12,11,3,0,0,0,0,0,14,0,0,0,0,0,0,0,7,2,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0406950599979859,3.20164856987111
"44",119,"1019-25",1,25,"44",229517.5633892,8180165.5333309,NA,6,6,6,17,14,17,3,0,0,0,0,0,20,0,0,0,0,0,0,0,6,3,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.0206937408243988,3.87792400006845
"45",122,"1020-13",1,13,"10",234351.260006556,8181275.21871022,6.11111111111111,7,7,5,9,9,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0100994585844603,4.59527346207073
