"","id_manz","P","D","L","X","Y","1_FR_A","2_FR_A","YearLastAFII","ageAP","nbSpray","nbSprayI","nbSprayII","nbPos","DenH","InspH","PosInspH","RocH","PosRocH","Total","nbDen","nbInsp","nbInspProg","nbInspPos","nbRoc","nbRocProg","nbRocPos","IIspray","Unspray","ManzPos2012","ManzPosPre2012","ManzVigPre2012","NextManzPosPre2012","codeLoc","focus","Den1"
"4","0-13","1","13","93",232994.976452176,8184310.07336882,8,9,9,3,40,33,31,3,0,0,0,0,0,51,0,0,0,0,0,0,0,9,11,FALSE,FALSE,FALSE,FALSE,"1.13.93",TRUE,FALSE
"5","0-18","1","18","1",223329.7102115,8180755.661008,4,5,5,7,8,8,7,5,0,1,1,2,1,8,0,1,1,1,2,2,1,5,0,FALSE,TRUE,TRUE,TRUE,"1.18.1",TRUE,FALSE
"6","0-23","1","23","1",218722.492479667,8182072.65225267,5,6,6,6,7,7,6,1,0,0,0,0,0,9,0,0,0,0,0,0,0,6,2,FALSE,FALSE,FALSE,FALSE,"1.23.1",TRUE,FALSE
"7","0-24","1","24","1",222428.2928631,8179815.6682565,4,5,5,7,10,8,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.24.1",TRUE,FALSE
"8","0-25","1","25","1",229222.808240833,8181764.50427933,NA,6,6,6,16,14,15,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,2,FALSE,FALSE,FALSE,FALSE,"1.25.1",TRUE,FALSE
"10","0-7","1","7","1",226371.760964833,8179951.16404367,3,4,4,8,6,6,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,FALSE,FALSE,FALSE,FALSE,"1.7.1",TRUE,FALSE
"12","0-9","1","9","1",203023.6021975,8170558.49664733,NA,9,9,3,100,92,90,1,0,0,0,0,0,148,0,0,0,0,0,0,0,9,48,FALSE,FALSE,FALSE,FALSE,"1.9.1",TRUE,FALSE
"25","100-18","1","18","4",224428.698059667,8180276.43981817,4,5,5,7,2,2,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,5,4,FALSE,FALSE,FALSE,FALSE,"1.18.4",TRUE,FALSE
"32","100-25","1","25","3",230368.514266875,8179655.498799,5.125,6,6,6,8,8,7,5,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,"1.25.3",TRUE,FALSE
"43","1005-13","1","13","6",233979.82465028,8181674.02430136,7,8,8,4,24,23,20,3,0,0,0,0,0,25,0,0,0,0,0,0,0,8,1,FALSE,FALSE,FALSE,FALSE,"1.13.6",TRUE,FALSE
"47","1006-13","1","13","6",233888.431059889,8181630.84914456,7,8,8,4,7,6,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,2,FALSE,FALSE,FALSE,FALSE,"1.13.6",TRUE,FALSE
"50","100-7","1","7","8",225896.903178,8179647.12602813,3,4,4,8,8,8,7,2,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,FALSE,FALSE,FALSE,FALSE,"1.7.8",TRUE,FALSE
"55","100-8","1","8","9",231013.217372857,8179909.81807614,6,7,7,5,14,13,12,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.8.9",TRUE,FALSE
"57","1008-13","1","13","10",234211.3244046,8181469.3633092,6,7,7,5,4,4,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE
"60","100-9","1","9","11",198780.611946667,8181476.55709889,8,9,9,3,9,9,9,5,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,FALSE,FALSE,FALSE,FALSE,"1.9.11",TRUE,FALSE
"62","1009-13","1","13","10",234249.07542375,8181471.35424425,6,7,7,5,7,5,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE
"63","1009-25","1","25","44",229639.240873893,8179913.99333004,6,6,6,6,24,20,22,9,1,4,2,7,1,28,1,4,8,2,7,7,1,6,4,TRUE,TRUE,TRUE,TRUE,"1.25.44",TRUE,TRUE
"68","1010-13","1","13","10",234289.358590571,8181478.396272,6,7,7,5,6,6,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE
"69","1010-25","1","25","44",229669.9764096,8179970.9477126,NA,6,6,6,16,13,15,1,0,0,0,0,0,20,0,0,0,0,0,0,0,6,4,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE
"76","1011-13","1","13","10",234331.907977375,8181491.82181925,6,7,7,5,7,7,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE
"77","1011-25","1","25","44",229689.261176929,8180010.93570536,6,6,6,6,14,13,14,6,0,0,0,3,0,14,0,0,0,0,3,3,0,6,0,FALSE,FALSE,TRUE,FALSE,"1.25.44",TRUE,FALSE
"78","101-13","1","13","55",233843.146367947,8182478.231096,7,8,8,4,16,13,11,0,0,0,0,0,0,19,0,0,0,0,0,0,0,8,3,FALSE,FALSE,FALSE,FALSE,"1.13.55",TRUE,FALSE
"80","101-18","1","18","4",224472.519742,8180276.48428,4,5,5,7,6,6,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,2,FALSE,FALSE,FALSE,FALSE,"1.18.4",TRUE,FALSE
"82","1012-13","1","13","10",234336.285033429,8181445.85354586,6,7,7,5,7,6,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE
"83","1012-25","1","25","44",229728.737859167,8180071.9877611,6,6,6,6,40,39,37,8,0,0,0,0,0,42,0,0,0,0,0,0,0,6,2,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE
"87","101-25","1","25","3",230324.284145273,8179636.44133636,5.45454545454545,6,6,6,10,10,9,5,0,0,0,0,0,11,0,0,0,0,0,0,0,6,1,FALSE,FALSE,FALSE,FALSE,"1.25.3",TRUE,FALSE
"90","1013-13","1","13","10",234292.205721125,8181429.17063138,6.125,7,7,5,6,6,5,1,0,0,0,0,0,8,0,0,0,0,0,0,0,7,2,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE
"91","1013-25","1","25","44",229629.792415,8180082.91178327,6,6,6,6,11,11,11,6,0,0,0,0,0,15,0,0,0,0,0,0,0,6,4,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE
"94","1014-13","1","13","10",234245.4405135,8181420.05367475,6,7,7,5,6,6,6,1,0,0,0,0,0,8,0,0,0,0,0,0,0,7,2,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE
"95","1014-25","1","25","44",229600.73462,8180033.05172473,6,6,6,6,11,11,8,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE
"98","1015-13","1","13","10",234211.885638,8181418.3351335,6,7,7,5,4,4,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE
"99","1015-25","1","25","44",229550.196973765,8180071.32347971,6,6,6,6,12,10,11,3,0,0,0,0,0,17,0,0,0,0,0,0,0,6,5,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE
"102","1016-13","1","13","10",234242.643042938,8181350.22707581,6.125,7,7,5,15,15,13,6,0,0,0,0,0,16,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE
"103","1016-25","1","25","44",229530.4080826,8179978.55907935,6,6,6,6,17,13,17,2,0,0,0,0,0,20,0,0,0,0,0,0,0,6,3,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE
"105","101-7","1","7","8",225990.369338111,8179711.07596122,3,4,4,8,9,9,6,4,0,0,0,2,0,9,0,0,0,0,2,2,0,4,0,FALSE,FALSE,TRUE,FALSE,"1.7.8",TRUE,FALSE
"107","1017-13","1","13","10",234297.955852545,8181368.83845382,6.09090909090909,7,7,5,10,10,9,1,0,0,0,0,0,11,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE
"108","1017-25","1","25","44",229407.514439733,8180059.11377217,NA,6,6,6,24,19,23,0,0,0,0,0,0,30,0,0,0,0,0,0,0,6,6,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE
