"","UNICODE","NRO_DENUNCIA","D","L","X","Y","id_manz","rocFAstatus","infFAstatus","INSP_POSITIVA","INSP_COMPLETA","DIA_INSP","MES_INSP","ANIO_INSP","infestedRV","complete","DIA_ROC","MES_ROC","ANIO_ROC","VisitVig","PosVig","PosVigNegFA","PosVigNoFA","PosVigPosFA","YearLastAFII","ageAP","TYPO_DENUNCIA","FECHA_ROC","FECHA_INSP","FECHA_VISIT","ANIO_VISIT","firstControl","firstControlBlock","DateFirstSpray","histTreat","TimeSinceFirst","codeLoc","focus"
"489","1.18.1.8",1,18,"1",223350.22,8180779.665683,"0-18",2,0,1,1,27,1,2009,1,1,22,4,2009,TRUE,TRUE,TRUE,FALSE,FALSE,5,4,4,2009-04-22,2009-01-27,2009-04-22,2009,TRUE,TRUE,2009-04-22,0,0,"1.18.1",TRUE
"484","1.18.1.7",1,18,"1",223344.525246,8180777.43386,"0-18",2,0,0,0,0,0,0,0,1,22,4,2009,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,4,2009-04-22,NA,2009-04-22,2009,TRUE,TRUE,2009-04-22,0,0,"1.18.1",TRUE
"1701","1.25.44.14",0,25,"44",229635.161714,8179954.178137,"1009-25",2,1,0,0,0,0,0,0,1,9,9,2008,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,2008-09-09,NA,2008-09-09,2008,TRUE,TRUE,2008-09-09,0,0,"1.25.44",TRUE
"1703","1.25.44.15",0,25,"44",229644.00739,8179947.107821,"1009-25",2,1,0,0,0,0,0,0,1,9,9,2008,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,2008-09-09,NA,2008-09-09,2008,TRUE,TRUE,2008-09-09,0,0,"1.25.44",TRUE
"1705","1.25.44.16",0,25,"44",229654.377276,8179940.709273,"1009-25",0,0,0,0,0,0,0,1,1,9,9,2008,TRUE,TRUE,FALSE,TRUE,FALSE,6,2,0,2008-09-09,NA,2008-09-09,2008,TRUE,TRUE,2008-09-09,0,0,"1.25.44",TRUE
"1709","1.25.44.19",0,25,"44",229680.865529,8179923.414399,"1009-25",2,0,0,0,0,0,0,0,1,9,9,2008,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,2008-09-09,NA,2008-09-09,2008,TRUE,TRUE,2008-09-09,0,0,"1.25.44",TRUE
"1700","1.25.44.13",0,25,"44",229625.005306,8179961.014543,"1009-25",2,1,0,0,0,0,0,0,1,9,9,2008,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,2008-09-09,NA,2008-09-09,2008,TRUE,TRUE,2008-09-09,0,0,"1.25.44",TRUE
"1708","1.25.44.18",0,25,"44",229673.352256,8179928.978158,"1009-25",2,1,0,0,0,0,0,0,1,9,9,2008,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,2008-09-09,NA,2008-09-09,2008,TRUE,TRUE,2008-09-09,0,0,"1.25.44",TRUE
"1711","1.25.44.20",0,25,"44",229685.549285,8179916.509835,"1009-25",2,1,0,0,0,0,0,0,1,9,9,2008,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,2008-09-09,NA,2008-09-09,2008,TRUE,TRUE,2008-09-09,0,0,"1.25.44",TRUE
"1706","1.25.44.16",629,25,"44",229654.377276,8179940.709273,"1009-25",0,0,1,1,12,12,2012,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,6,6,1,NA,2012-12-12,2012-12-12,2012,FALSE,FALSE,2008-09-09,1,1555,"1.25.44",TRUE
"1704","1.25.44.15",629,25,"44",229644.00739,8179947.107821,"1009-25",2,1,0,1,13,12,2012,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,6,6,1,NA,2012-12-13,2012-12-13,2012,FALSE,FALSE,2008-09-09,1,1556,"1.25.44",TRUE
"1707","1.25.44.17",629,25,"44",229664.758004,8179933.440501,"1009-25",0,0,0,1,13,12,2012,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,6,6,1,NA,2012-12-13,2012-12-13,2012,FALSE,FALSE,2008-09-09,1,1556,"1.25.44",TRUE
"1710","1.25.44.19",629,25,"44",229680.865529,8179923.414399,"1009-25",2,0,1,1,13,12,2012,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,6,6,1,NA,2012-12-13,2012-12-13,2012,FALSE,FALSE,2008-09-09,1,1556,"1.25.44",TRUE
"1702","1.25.44.14",629,25,"44",229635.161714,8179954.178137,"1009-25",2,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,6,6,1,NA,NA,NA,0,FALSE,FALSE,2008-09-09,1,NA,"1.25.44",TRUE
"1716","1.25.44.50",0,25,"44",229695.918693,8179991.01928,"1011-25",2,1,0,0,0,0,0,0,1,20,8,2008,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,2008-08-20,NA,2008-08-20,2008,TRUE,TRUE,2008-08-20,0,0,"1.25.44",TRUE
"1717","1.25.44.58",0,25,"44",229691.605538,8180031.885607,"1011-25",2,0,0,0,0,0,0,0,1,20,8,2008,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,2008-08-20,NA,2008-08-20,2008,TRUE,TRUE,2008-08-20,0,0,"1.25.44",TRUE
"1718","1.25.44.59",0,25,"44",229698.21297,8180022.405079,"1011-25",2,1,0,0,0,0,0,0,1,20,8,2008,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,2008-08-20,NA,2008-08-20,2008,TRUE,TRUE,2008-08-20,0,0,"1.25.44",TRUE
"2519","1.7.8.156",0,7,"8",226013.756634,8179710.898487,"101-7",2,0,0,0,0,0,0,0,1,10,8,2005,TRUE,FALSE,FALSE,FALSE,FALSE,4,1,0,2005-08-10,NA,2005-08-10,2005,TRUE,TRUE,2005-08-10,0,0,"1.7.8",TRUE
"2520","1.7.8.157",0,7,"8",226021.132779,8179695.732775,"101-7",2,1,0,0,0,0,0,0,1,10,8,2005,TRUE,FALSE,FALSE,FALSE,FALSE,4,1,0,2005-08-10,NA,2005-08-10,2005,TRUE,TRUE,2005-08-10,0,0,"1.7.8",TRUE
"1712","1.25.44.267",305,25,"44",229575.603618,8180228.684369,"1020-25",1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,6,-2006,3,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.25.44",TRUE
"1713","1.25.44.268",305,25,"44",229589.596158,8180234.194389,"1020-25",2,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,6,-2006,3,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.25.44",TRUE
"1714","1.25.44.269",305,25,"44",229595.592299,8180223.288705,"1020-25",0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,6,-2006,3,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.25.44",TRUE
"1715","1.25.44.287",305,25,"44",229566.892337,8180213.171795,"1020-25",2,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,6,-2006,3,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.25.44",TRUE
"2521","1.7.8.159",0,7,"8",226021.971914,8179739.389739,"102-7",1,0,0,0,0,0,0,0,1,17,1,2007,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,0,2007-01-17,NA,2007-01-17,2007,TRUE,TRUE,2007-01-17,0,0,"1.7.8",TRUE
"2522","1.7.8.161",0,7,"8",226017.551243,8179765.825359,"102-7",2,0,0,0,0,0,0,0,1,19,2,2007,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,0,2007-02-19,NA,2007-02-19,2007,TRUE,TRUE,2007-01-17,0,33,"1.7.8",TRUE
"2525","1.7.8.163",481,7,"8",226027.704568,8179783.176596,"102-7",2,0,0,1,20,3,2012,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,4,8,1,NA,2012-03-20,2012-03-20,2012,FALSE,FALSE,2007-01-17,1,1889,"1.7.8",TRUE
