UNICODE,P,D,L,V,PosUPCH
1.10.36.1,1,10,36,1,0
1.10.36.2,1,10,36,2,0
1.10.36.3,1,10,36,3,0
1.10.36.4,1,10,36,4,0
1.10.36.5,1,10,36,5,0
1.10.36.6,1,10,36,6,0
1.10.36.7,1,10,36,7,0
1.10.36.8,1,10,36,8,0
1.10.36.9,1,10,36,9,0
1.10.36.10,1,10,36,10,0
1.10.36.11,1,10,36,11,0
1.10.36.12,1,10,36,12,0
1.10.36.13,1,10,36,13,0
1.10.36.14,1,10,36,14,0
1.10.36.15,1,10,36,15,0
1.10.36.16,1,10,36,16,0
1.10.36.17,1,10,36,17,0
1.10.36.18,1,10,36,18,0
1.10.36.19,1,10,36,19,0
1.10.36.20,1,10,36,20,0
1.10.36.21,1,10,36,21,0
1.10.36.22,1,10,36,22,0
1.10.36.23,1,10,36,23,0
1.10.36.24,1,10,36,24,0
1.10.36.25,1,10,36,25,0
1.10.36.26,1,10,36,26,0
1.10.36.27,1,10,36,27,0
1.10.36.28,1,10,36,28,0
1.10.36.29,1,10,36,29,0
1.10.36.30,1,10,36,30,0
1.10.36.32,1,10,36,32,0
1.10.36.33,1,10,36,33,0
1.10.36.35,1,10,36,35,0
1.10.36.38,1,10,36,38,0
1.10.36.41,1,10,36,41,0
1.10.36.42,1,10,36,42,0
1.10.36.43,1,10,36,43,0
1.10.36.46,1,10,36,46,0
1.10.36.47,1,10,36,47,0
1.10.36.48,1,10,36,48,0
1.10.36.49,1,10,36,49,0
1.10.36.50,1,10,36,50,0
1.10.36.51,1,10,36,51,0
1.10.36.52,1,10,36,52,0
1.10.36.53,1,10,36,53,0
1.10.36.55,1,10,36,55,0
1.10.36.56,1,10,36,56,0
1.10.36.57,1,10,36,57,0
1.10.36.59,1,10,36,59,0
1.10.36.60,1,10,36,60,0
1.10.36.61,1,10,36,61,0
1.10.36.62,1,10,36,62,0
1.10.36.64,1,10,36,64,0
1.10.36.65,1,10,36,65,0
1.10.36.66,1,10,36,66,0
1.10.36.68,1,10,36,68,0
1.10.36.69,1,10,36,69,0
1.10.36.70,1,10,36,70,0
1.10.36.71,1,10,36,71,0
1.10.36.72,1,10,36,72,0
1.10.36.73,1,10,36,73,0
1.10.36.74,1,10,36,74,0
1.10.36.76,1,10,36,76,0
1.10.36.77,1,10,36,77,0
1.10.36.78,1,10,36,78,0
1.10.36.79,1,10,36,79,0
1.10.36.81,1,10,36,81,0
1.10.36.82,1,10,36,82,0
1.10.36.84,1,10,36,84,0
1.10.36.85,1,10,36,85,0
1.10.36.87,1,10,36,87,0
1.10.36.88,1,10,36,88,1
1.10.36.89,1,10,36,89,1
1.10.36.90,1,10,36,90,1
1.10.36.91,1,10,36,91,1
1.10.36.92,1,10,36,92,1
1.10.36.93,1,10,36,93,0
1.10.36.94,1,10,36,94,0
1.10.36.96,1,10,36,96,0
1.10.36.97,1,10,36,97,0
1.10.36.98,1,10,36,98,0
1.10.36.100,1,10,36,100,0
1.10.36.101,1,10,36,101,0
1.10.36.102,1,10,36,102,0
1.10.36.103,1,10,36,103,0
1.10.36.104,1,10,36,104,0
1.10.36.105,1,10,36,105,0
1.10.36.106,1,10,36,106,0
1.10.36.107,1,10,36,107,0
1.10.36.109,1,10,36,109,1
1.10.36.111,1,10,36,111,0
1.10.36.112,1,10,36,112,0
1.10.36.113,1,10,36,113,0
1.10.36.114,1,10,36,114,0
1.10.36.116,1,10,36,116,0
1.10.36.116A,1,10,36,116A,0
1.10.36.117,1,10,36,117,0
1.10.36.117A,1,10,36,117A,0
1.10.36.117B,1,10,36,117B,0
1.10.36.118,1,10,36,118,0
1.10.36.119,1,10,36,119,1
1.10.36.120,1,10,36,120,1
1.10.36.122,1,10,36,122,1
1.10.36.124,1,10,36,124,1
1.10.36.125,1,10,36,125,1
1.10.36.126,1,10,36,126,1
1.10.36.127,1,10,36,127,1
1.10.36.128,1,10,36,128,0
1.10.36.130,1,10,36,130,1
1.10.36.131,1,10,36,131,0
1.10.36.132,1,10,36,132,1
1.10.36.133,1,10,36,133,0
1.10.36.134,1,10,36,134,0
1.10.36.135,1,10,36,135,1
1.10.36.136A,1,10,36,136A,0
1.10.36.137,1,10,36,137,1
1.10.36.139,1,10,36,139,1
1.10.36.142,1,10,36,142,1
1.10.36.143,1,10,36,143,1
1.10.36.144,1,10,36,144,0
1.10.36.145,1,10,36,145,0
1.10.36.146,1,10,36,146,0
1.10.36.147,1,10,36,147,0
1.10.36.148,1,10,36,148,0
1.10.36.149,1,10,36,149,0
1.10.36.150,1,10,36,150,0
1.10.36.151,1,10,36,151,0
1.10.36.152,1,10,36,152,0
1.10.36.153,1,10,36,153,0
1.10.36.154,1,10,36,154,0
1.10.36.155,1,10,36,155,0
1.10.36.156,1,10,36,156,0
1.10.36.157,1,10,36,157,0
1.10.36.158,1,10,36,158,0
1.10.36.160,1,10,36,160,0
1.10.36.161,1,10,36,161,0
1.10.36.162,1,10,36,162,0
1.10.36.163,1,10,36,163,0
1.10.36.164,1,10,36,164,0
1.10.36.165,1,10,36,165,0
