unicode,sector
1.24.1.1,tiabaya_1
1.24.1.12,tiabaya_1
1.24.1.13,tiabaya_1
1.24.1.2,tiabaya_1
1.24.1.3,tiabaya_1
1.24.1.4,tiabaya_1
1.24.1.5,tiabaya_1
1.24.1.6,tiabaya_1
1.24.1.8,tiabaya_1
1.24.1.9,tiabaya_1
1.24.1.10,tiabaya_1
1.24.1.11,tiabaya_1
1.24.1.14,tiabaya_1
1.24.1.15,tiabaya_1
1.24.1.16,tiabaya_1
1.24.1.17,tiabaya_1
1.24.1.18,tiabaya_1
1.24.1.19,tiabaya_1
1.24.1.20,tiabaya_1
1.24.1.21,tiabaya_1
1.24.1.22,tiabaya_1
1.24.1.23,tiabaya_1
1.24.1.24,tiabaya_1
1.24.1.7,tiabaya_1
1.24.1.25,tiabaya_1
1.24.1.26,tiabaya_1
1.24.1.27,tiabaya_1
1.24.1.28,tiabaya_1
1.24.1.29,tiabaya_1
1.24.1.30,tiabaya_1
1.24.1.31,tiabaya_1
1.24.1.32,tiabaya_1
1.24.1.33,tiabaya_1
1.24.1.34,tiabaya_1
1.24.1.35,tiabaya_1
1.24.1.36,tiabaya_1
1.24.1.37,tiabaya_1
1.24.1.38,tiabaya_1
1.24.1.39,tiabaya_1
1.24.1.40,tiabaya_1
1.24.1.41,tiabaya_1
1.24.1.42,tiabaya_1
1.24.1.43,tiabaya_1
1.24.1.44,tiabaya_1
1.24.1.45,tiabaya_1
1.24.1.45A,tiabaya_1
1.24.1.46,tiabaya_1
1.24.1.47,tiabaya_1
1.24.1.48,tiabaya_1
1.24.1.49,tiabaya_1
1.24.1.50,tiabaya_1
1.24.1.51,tiabaya_1
1.24.1.52,tiabaya_1
1.24.1.53,tiabaya_1
1.24.1.54,tiabaya_1
1.24.1.55,tiabaya_1
1.24.1.56,tiabaya_1
1.24.1.57,tiabaya_1
1.24.1.58,tiabaya_1
1.24.1.59,tiabaya_1
1.24.1.60,tiabaya_1
1.24.1.61,tiabaya_1
1.24.1.62,tiabaya_1
1.24.1.63,tiabaya_1
1.24.1.64,tiabaya_1
1.24.1.65,tiabaya_1
1.24.1.66,tiabaya_1
1.24.1.66A,tiabaya_1
1.24.1.67,tiabaya_1
1.24.1.68,tiabaya_1
1.24.1.69,tiabaya_1
1.24.1.70,tiabaya_1
1.24.1.71,tiabaya_1
1.24.1.72,tiabaya_1
1.24.1.73,tiabaya_1
1.24.1.74,tiabaya_1
1.24.1.75,tiabaya_1
1.24.1.76,tiabaya_1
1.24.1.77,tiabaya_1
1.24.1.78,tiabaya_1
1.24.1.79,tiabaya_1
1.24.1.80,tiabaya_1
1.24.1.81,tiabaya_1
1.24.1.82,tiabaya_1
1.24.1.83,tiabaya_1
1.24.1.84,tiabaya_1
1.24.1.85,tiabaya_1
1.24.1.86,tiabaya_1
1.24.1.87,tiabaya_1
1.24.1.88,tiabaya_1
1.24.1.89,tiabaya_1
1.24.1.90,tiabaya_1
1.24.1.91,tiabaya_1
1.24.1.92,tiabaya_1
1.24.1.93,tiabaya_1
1.24.1.94,tiabaya_1
1.24.1.95,tiabaya_1
1.24.1.96,tiabaya_1
1.24.1.97,tiabaya_1
1.24.1.98,tiabaya_1
1.24.1.100,tiabaya_1
1.24.1.101,tiabaya_1
1.24.1.102,tiabaya_1
1.24.1.103,tiabaya_1
1.24.1.104,tiabaya_1
1.24.1.105,tiabaya_1
1.24.1.106,tiabaya_1
1.24.1.107,tiabaya_1
1.24.1.108,tiabaya_1
1.24.1.108A,tiabaya_1
1.24.1.108B,tiabaya_1
1.24.1.108C,tiabaya_1
1.24.1.109,tiabaya_1
1.24.1.110,tiabaya_1
1.24.1.111,tiabaya_1
1.24.1.112,tiabaya_1
1.24.1.113,tiabaya_1
1.24.1.114,tiabaya_1
1.24.1.115,tiabaya_1
1.24.1.115A,tiabaya_1
1.24.1.116,tiabaya_1
1.24.1.117,tiabaya_1
1.24.1.99,tiabaya_1
1.24.1.118,tiabaya_1
1.24.1.119,tiabaya_1
1.24.1.120,tiabaya_1
1.24.1.121,tiabaya_1
1.24.1.122,tiabaya_1
1.24.1.123,tiabaya_1
1.24.1.124,tiabaya_1
1.24.1.125,tiabaya_1
1.24.1.126,tiabaya_1
1.24.1.127,tiabaya_1
1.24.1.128,tiabaya_1
1.24.1.129,tiabaya_1
1.24.1.130,tiabaya_1
1.24.1.131,tiabaya_1
1.24.1.132,tiabaya_1
1.24.1.133,tiabaya_1
1.24.1.134,tiabaya_1
1.24.1.135,tiabaya_1
1.24.1.136,tiabaya_1
1.24.1.137,tiabaya_1
1.24.1.138,tiabaya_1
1.24.1.139,tiabaya_1
1.24.1.140,tiabaya_1
1.24.1.141,tiabaya_1
1.24.1.142,tiabaya_1
1.24.1.143,tiabaya_1
1.24.1.143A,tiabaya_1
1.24.1.143B,tiabaya_1
1.24.1.143C,tiabaya_1
1.24.1.144,tiabaya_1
1.24.1.145,tiabaya_1
1.24.1.146,tiabaya_1
1.24.1.147,tiabaya_1
1.24.1.148,tiabaya_1
1.24.1.149,tiabaya_1
1.24.1.150,tiabaya_1
1.24.1.151,tiabaya_1
1.24.1.152,tiabaya_1
1.24.1.153,tiabaya_1
1.24.1.154,tiabaya_1
1.24.1.155,tiabaya_1
1.24.1.156,tiabaya_1
1.24.1.157,tiabaya_1
1.24.1.158,tiabaya_1
1.24.1.159,tiabaya_1
1.24.1.160,tiabaya_1
1.24.1.161,tiabaya_1
1.24.1.162,tiabaya_1
1.24.1.163,tiabaya_1
1.24.1.164,tiabaya_1
1.24.1.165,tiabaya_1
1.24.1.166,tiabaya_1
1.24.1.167,tiabaya_1
1.24.1.168,tiabaya_1
1.24.1.169,tiabaya_1
1.24.1.170,tiabaya_1
1.24.1.171,tiabaya_1
1.24.1.172,tiabaya_1
1.24.1.173,tiabaya_1
1.24.1.174,tiabaya_1
1.24.1.174A,tiabaya_1
1.24.1.175,tiabaya_1
1.24.1.175A,tiabaya_1
1.24.1.176,tiabaya_1
1.24.1.177,tiabaya_1
1.24.1.178,tiabaya_1
1.24.1.179,tiabaya_1
1.24.1.180,tiabaya_1
1.24.1.181,tiabaya_1
1.24.1.182,tiabaya_1
1.24.1.183,tiabaya_1
1.24.1.184,tiabaya_1
1.24.1.184A,tiabaya_1
1.24.1.184B,tiabaya_1
1.24.1.184C,tiabaya_1
1.24.1.185,tiabaya_1
1.24.1.186,tiabaya_1
1.24.1.187,tiabaya_1
1.24.1.188,tiabaya_1
1.24.1.189,tiabaya_1
1.24.1.190,tiabaya_1
1.24.1.191,tiabaya_1
1.24.1.192,tiabaya_1
1.24.1.193,tiabaya_1
1.24.1.194,tiabaya_1
1.24.1.195,tiabaya_1
1.24.1.195A,tiabaya_1
1.24.1.196,tiabaya_1
1.24.1.197,tiabaya_1
1.24.1.198,tiabaya_1
1.24.1.199,tiabaya_1
1.24.1.200,tiabaya_1
1.24.1.201,tiabaya_1
1.24.1.202,tiabaya_1
1.24.1.203,tiabaya_1
1.24.1.204,tiabaya_1
