"unicode","clusterID","cluster.name"
"1.24.1.1",1,"tiabaya_1"
"1.24.1.12",1,"tiabaya_1"
"1.24.1.13",1,"tiabaya_1"
"1.24.1.2",1,"tiabaya_1"
"1.24.1.3",1,"tiabaya_1"
"1.24.1.4",1,"tiabaya_1"
"1.24.1.5",1,"tiabaya_1"
"1.24.1.6",1,"tiabaya_1"
"1.24.1.8",1,"tiabaya_1"
"1.24.1.9",1,"tiabaya_1"
"1.24.1.10",1,"tiabaya_1"
"1.24.1.11",1,"tiabaya_1"
"1.24.1.14",1,"tiabaya_1"
"1.24.1.15",1,"tiabaya_1"
"1.24.1.16",1,"tiabaya_1"
"1.24.1.17",1,"tiabaya_1"
"1.24.1.18",1,"tiabaya_1"
"1.24.1.19",1,"tiabaya_1"
"1.24.1.20",1,"tiabaya_1"
"1.24.1.21",1,"tiabaya_1"
"1.24.1.22",1,"tiabaya_1"
"1.24.1.23",1,"tiabaya_1"
"1.24.1.24",1,"tiabaya_1"
"1.24.1.7",1,"tiabaya_1"
"1.24.1.25",1,"tiabaya_1"
"1.24.1.26",1,"tiabaya_1"
"1.24.1.27",1,"tiabaya_1"
"1.24.1.28",1,"tiabaya_1"
"1.24.1.29",1,"tiabaya_1"
"1.24.1.30",1,"tiabaya_1"
"1.24.1.31",1,"tiabaya_1"
"1.24.1.32",1,"tiabaya_1"
"1.24.1.33",1,"tiabaya_1"
"1.24.1.34",1,"tiabaya_1"
"1.24.1.35",1,"tiabaya_1"
"1.24.1.36",1,"tiabaya_1"
"1.24.1.37",1,"tiabaya_1"
"1.24.1.38",1,"tiabaya_1"
"1.24.1.39",1,"tiabaya_1"
"1.24.1.40",1,"tiabaya_1"
"1.24.1.41",1,"tiabaya_1"
"1.24.1.42",1,"tiabaya_1"
"1.24.1.43",1,"tiabaya_1"
"1.24.1.44",1,"tiabaya_1"
"1.24.1.45",1,"tiabaya_1"
"1.24.1.45A",1,"tiabaya_1"
"1.24.1.46",1,"tiabaya_1"
"1.24.1.47",1,"tiabaya_1"
"1.24.1.48",1,"tiabaya_1"
"1.24.1.49",1,"tiabaya_1"
"1.24.1.50",1,"tiabaya_1"
"1.24.1.51",1,"tiabaya_1"
"1.24.1.52",1,"tiabaya_1"
"1.24.1.53",1,"tiabaya_1"
"1.24.1.54",1,"tiabaya_1"
"1.24.1.55",1,"tiabaya_1"
"1.24.1.56",1,"tiabaya_1"
"1.24.1.57",1,"tiabaya_1"
"1.24.1.58",1,"tiabaya_1"
"1.24.1.59",1,"tiabaya_1"
"1.24.1.60",1,"tiabaya_1"
"1.24.1.61",1,"tiabaya_1"
"1.24.1.62",1,"tiabaya_1"
"1.24.1.63",1,"tiabaya_1"
"1.24.1.64",1,"tiabaya_1"
"1.24.1.65",1,"tiabaya_1"
"1.24.1.66",1,"tiabaya_1"
"1.24.1.66A",1,"tiabaya_1"
"1.24.1.67",1,"tiabaya_1"
"1.24.1.68",1,"tiabaya_1"
"1.24.1.69",1,"tiabaya_1"
"1.24.1.70",1,"tiabaya_1"
"1.24.1.71",1,"tiabaya_1"
"1.24.1.72",1,"tiabaya_1"
"1.24.1.73",1,"tiabaya_1"
"1.24.1.74",1,"tiabaya_1"
"1.24.1.75",1,"tiabaya_1"
"1.24.1.76",1,"tiabaya_1"
"1.24.1.77",1,"tiabaya_1"
"1.24.1.78",1,"tiabaya_1"
"1.24.1.79",1,"tiabaya_1"
"1.24.1.80",1,"tiabaya_1"
"1.24.1.81",1,"tiabaya_1"
"1.24.1.82",1,"tiabaya_1"
"1.24.1.83",1,"tiabaya_1"
"1.24.1.84",1,"tiabaya_1"
"1.24.1.85",1,"tiabaya_1"
"1.24.1.86",1,"tiabaya_1"
"1.24.1.87",1,"tiabaya_1"
"1.24.1.88",1,"tiabaya_1"
"1.24.1.89",1,"tiabaya_1"
"1.24.1.90",1,"tiabaya_1"
"1.24.1.91",1,"tiabaya_1"
"1.24.1.92",1,"tiabaya_1"
"1.24.1.93",1,"tiabaya_1"
