"dist","loc","lon","lat","polygon","unicode","prov","viv","loc_num","block","uniblock","X","Y","clusterID","add.house"
24,"1",-71.6003432157699,-16.4467816664598,0,"1.24.1.1",1,"1",1,1,"1.24.1.1",222331.250929826,8179858.2600926,1,0
24,"1",-71.5983957987296,-16.4475562438018,0,"1.24.1.12",1,"12",1,1,"1.24.1.1",222540.42171646,8179775.1769722,1,0
24,"1",-71.5983071477443,-16.4475686845533,0,"1.24.1.13",1,"13",1,1,"1.24.1.1",222549.911152927,8179773.92129487,1,0
24,"1",-71.600155403041,-16.446831102617,0,"1.24.1.2",1,"2",1,1,"1.24.1.1",222351.387887209,8179853.04476341,1,0
24,"1",-71.6002967989834,-16.4469404337498,0,"1.24.1.3",1,"3",1,1,"1.24.1.1",222336.436288517,8179840.74587122,1,0
24,"1",-71.5999638990221,-16.4469300583902,0,"1.24.1.4",1,"4",1,1,"1.24.1.1",222371.98971027,8179842.35190259,1,0
24,"1",-71.5996914231997,-16.4471153142861,0,"1.24.1.5",1,"5",1,1,"1.24.1.1",222401.365644477,8179822.21549071,1,0
24,"1",-71.599591694376,-16.4471776361353,0,"1.24.1.6",1,"6",1,1,"1.24.1.1",222412.109705499,8179815.45248018,1,0
24,"1",-71.5991334077893,-16.4473307526124,0,"1.24.1.8",1,"8",1,1,"1.24.1.1",222461.292440132,8179799.1295246,1,0
24,"1",-71.5985234700993,-16.4475437569994,0,"1.24.1.9",1,"9",1,1,"1.24.1.1",222526.76315652,8179776.38417197,1,0
24,"1",-71.5987006610232,-16.447319205555,1,"1.24.1.10",1,"10",1,2,"1.24.1.2",222507.512051457,8179801.00217806,1,0
24,"1",-71.5984793180432,-16.4473714409827,1,"1.24.1.11",1,"11",1,2,"1.24.1.2",222531.235348279,8179795.52281054,1,0
24,"1",-71.5983663198382,-16.4473983400212,1,"1.24.1.14",1,"14",1,2,"1.24.1.2",222543.34669566,8179792.69980729,1,0
24,"1",-71.5980932101835,-16.4474431065199,1,"1.24.1.15",1,"15",1,2,"1.24.1.2",222572.59025387,8179788.11838857,1,0
24,"1",-71.5980958773838,-16.4470387298587,1,"1.24.1.16",1,"16",1,2,"1.24.1.2",222571.730082448,8179832.88540227,1,0
24,"1",-71.5981020232861,-16.4466698261724,1,"1.24.1.17",1,"17",1,2,"1.24.1.2",222570.548703269,8179873.72023957,1,0
24,"1",-71.5980863467096,-16.4465219344847,1,"1.24.1.18",1,"18",1,2,"1.24.1.2",222572.013285775,8179890.11562653,1,0
24,"1",-71.5982077947626,-16.4464720956193,1,"1.24.1.19",1,"19",1,2,"1.24.1.2",222558.966449956,8179895.4668435,1,0
24,"1",-71.5983075223902,-16.4464110167805,1,"1.24.1.20",1,"20",1,2,"1.24.1.2",222548.224307188,8179902.09230702,1,0
24,"1",-71.5984072495502,-16.4462913401411,1,"1.24.1.21",1,"21",1,2,"1.24.1.2",222537.398850241,8179915.20543954,1,0
24,"1",-71.5984707001944,-16.4461982763192,1,"1.24.1.22",1,"22",1,2,"1.24.1.2",222530.487159053,8179925.4219234,1,0
24,"1",-71.5985587598141,-16.4460582619509,1,"1.24.1.23",1,"23",1,2,"1.24.1.2",222520.879353273,8179940.80276571,1,0
24,"1",-71.5990838175123,-16.4463631695795,1,"1.24.1.24",1,"24",1,2,"1.24.1.2",222465.21400663,8179906.32391684,1,0
24,"1",-71.5993209246679,-16.447086615507,1,"1.24.1.7",1,"7",1,2,"1.24.1.2",222440.910103751,8179825.90173877,1,0
24,"1",-71.5983074240869,-16.445925178536,2,"1.24.1.25",1,"25",1,3,"1.24.1.3",222547.54372431,8179955.88216213,1,0
